text,level,conf,height
,1,-1.0,639
,2,-1.0,242
,3,-1.0,242
,4,-1.0,242
  ,5,95.0,242
 ,5,95.0,107
,2,-1.0,49
,3,-1.0,49
,4,-1.0,49
States,5,96.413071,47
of,5,96.521324,49
,2,-1.0,48
,3,-1.0,48
,4,-1.0,48
Consciousness,5,96.35923,48
,2,-1.0,23
,3,-1.0,23
,4,-1.0,23
aN,5,21.18837,23
,2,-1.0,344
,3,-1.0,344
,4,-1.0,344
 ,5,95.0,344
,2,-1.0,301
,3,-1.0,301
,4,-1.0,301
 ,5,95.0,301
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,66
,3,-1.0,66
,4,-1.0,31
MOUs,5,13.137657,31
,4,-1.0,28
CHARLES,5,92.474564,24
T.,5,92.474564,22
"TART,",5,84.33873,27
PHD,5,95.740395,22
