text,level,conf,height
,1,-1.0,650
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
An,5,91.378677,10
Authors,5,94.920479,10
Guild,5,52.0261,10
Backinprint.com,5,82.420387,11
Edition,5,95.995323,10
,2,-1.0,30
,3,-1.0,30
,4,-1.0,15
“Tae,5,21.596725,29
cleatly,5,21.596725,29
prevents,5,40.576324,29
the,5,49.361591,29
evidence,5,49.361591,29
for,5,81.076164,29
how,5,94.610909,29
deeply,5,31.335312,29
skp,5,32.004387,13
we,5,82.664055,29
are,5,73.668213,29
adits,5,54.888412,29
"consequences,",5,54.888412,29
,4,-1.0,15
and,5,92.955605,29
then,5,92.770294,29
describes,5,44.386932,29
methods,5,88.567871,29
for,5,88.784241,29
becoming,5,63.521637,29
more,5,50.992275,29
awake.,5,50.992275,29
,2,-1.0,79
,3,-1.0,79
,4,-1.0,79
Waking,5,96.379906,79
Up,5,96.571922,74
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
OVERCOMING,5,95.830101,13
THE,5,96.807434,12
OBSTACLES,5,96.932961,13
TO,5,96.802094,12
HUMAN,5,96.325783,12
POTENTIAL,5,96.902695,13
,2,-1.0,430
,3,-1.0,430
,4,-1.0,430
 ,5,95.0,430
