text,level,conf,height
,1,-1.0,612
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
|_|,5,37.183922,27
|),5,24.821289,27
re)!,5,37.967079,27
ee),5,50.695084,27
ee,5,0.0,27
,2,-1.0,113
,3,-1.0,113
,4,-1.0,113
aaent,5,32.354301,82
"Egypt,",5,29.553818,89
Bel,5,37.717854,92
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
AND,5,95.89505,15
THEIR,5,95.89505,15
,2,-1.0,97
,3,-1.0,97
,4,-1.0,97
NL,5,7.994675,97
a,5,3.243164,47
fr,5,53.343697,46
,2,-1.0,146
,3,-1.0,95
,4,-1.0,60
Act,5,78.551132,55
‘,5,59.380714,41
-,5,0.094139,48
},5,0.0,8
,4,-1.0,128
2,5,38.068878,128
Guid«,5,77.876541,22
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,400
,3,-1.0,400
,4,-1.0,400
  ,5,95.0,400
,2,-1.0,581
,3,-1.0,581
,4,-1.0,581
 ,5,95.0,581
,2,-1.0,262
,3,-1.0,262
,4,-1.0,262
 ,5,95.0,262
,2,-1.0,32
,3,-1.0,32
,4,-1.0,32
RS,5,34.519669,25
Sed,5,19.861282,51
(oa,5,15.747574,32
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
—,5,8.918625,16
Ud!:l,5,0.0,20
(‘kt,5,46.924385,20
lL,5,30.695107,20
|,5,85.456039,14
it,5,27.582924,16
§}F,5,0.0,16
>:,5,44.674458,16
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
