text,level,conf,height
,1,-1.0,648
,2,-1.0,154
,3,-1.0,106
,4,-1.0,49
"SEX,",5,74.769043,47
"DRUGS,",5,87.896523,46
,4,-1.0,94
ALE),5,0.0,94
&,5,92.704109,42
ELVES,5,96.423721,46
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
78,5,15.688614,17
,2,-1.0,406
,3,-1.0,406
,4,-1.0,406
 ,5,95.0,406
,2,-1.0,34
,3,-1.0,34
,4,-1.0,17
"Sushi,",5,93.302299,16
"Psychedelics,",5,92.471466,16
Parallel,5,95.693649,13
,4,-1.0,16
"Universes,",5,96.913208,16
and,5,96.952629,14
the,5,96.75956,13
Quest,5,95.941559,15
for,5,95.941559,14
Transcendence,5,96.830582,14
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
CLIFFORD,5,95.996254,19
A.,5,93.038406,19
PICKOVER,5,91.985008,19
