text,level,conf,height
,1,-1.0,792
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
CECW-EH-D,5,59.978828,8
,2,-1.0,44
,3,-1.0,44
,4,-1.0,44
 ,5,95.0,44
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
‘earteat,5,0.0,9
ofthe,5,74.986519,7
Ary,5,56.232224,6
,2,-1.0,22
,3,-1.0,22
,4,-1.0,11
USS.,5,36.325485,8
Aemy,5,39.518143,8
Corps,5,65.149818,11
of,5,96.773911,28
En,5,90.670944,28
,4,-1.0,9
"Washington,",5,73.855629,9
BC,5,34.147064,7
2031-1000,5,34.147064,7
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
EM,5,90.276482,8
1110-2-1617,5,79.254211,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
20,5,93.471329,8
August,5,95.73336,11
1992,5,84.534103,8
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
 ,5,95.0,15
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
neering,5,45.565151,9
and,5,96.849297,8
Design,5,95.490967,11
,2,-1.0,22
,3,-1.0,22
,4,-1.0,8
COASTAL,5,90.788086,8
GROINS,5,92.556732,8
AND,5,93.281586,8
NEARSHORE,5,92.021545,8
,4,-1.0,8
BREAKWATERS,5,89.116867,8
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,200
,3,-1.0,200
,4,-1.0,200
 ,5,95.0,200
,2,-1.0,200
,3,-1.0,200
,4,-1.0,200
 ,5,95.0,200
,2,-1.0,39
,3,-1.0,39
,4,-1.0,10
Distribution,5,96.637932,10
Restriction,5,96.637932,10
Statement,5,93.855568,10
,4,-1.0,11
Approved,5,75.159958,11
for,5,93.286293,8
publie,5,89.196213,11
release:,5,46.138916,8
distibution,5,24.830963,8
is,5,96.14814,5
,4,-1.0,8
unlimited.,5,67.754967,8
,2,-1.0,200
,3,-1.0,200
,4,-1.0,200
 ,5,95.0,200
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,200
,3,-1.0,200
,4,-1.0,200
 ,5,95.0,200
