text,level,conf,height
,1,-1.0,847
,2,-1.0,268
,3,-1.0,268
,4,-1.0,144
   ,5,95.0,144
,4,-1.0,124
 ,5,95.0,124
,2,-1.0,51
,3,-1.0,51
,4,-1.0,14
The,5,96.742447,14
,4,-1.0,14
Steel,5,96.892357,14
Construction,5,93.108864,13
,4,-1.0,13
Institute,5,96.988724,13
,2,-1.0,59
,3,-1.0,59
,4,-1.0,59
 ,5,95.0,59
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Instut,5,63.391735,28
ea,5,58.273232,6
Consiucton,5,19.930077,28
Matahque,5,31.177872,28
Inst,5,19.36792,7
ir,5,11.180656,28
Stanbau,5,11.180656,7
let,5,44.302795,7
Cor,5,58.412479,28
