text,level,conf,height
,1,-1.0,663
,2,-1.0,303
,3,-1.0,303
,4,-1.0,303
 ,5,95.0,303
,2,-1.0,49
,3,-1.0,49
,4,-1.0,49
BREAKING,5,83.796036,49
,2,-1.0,31
,3,-1.0,31
,4,-1.0,31
Migi=e,5,0.0,29
Slee,5,14.236511,48
(sie,5,14.236511,48
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
RELIGION,5,96.645523,13
AS,5,96.704216,8
A,5,95.658623,8
NATURAL,5,95.658623,13
PHENOMENON,5,96.585869,13
,2,-1.0,283
,3,-1.0,283
,4,-1.0,283
 ,5,95.0,283
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
DANIEL,5,93.274857,19
C.,5,85.327332,20
DENNETT,5,90.648254,20
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
AUTHOR,5,87.581024,7
OF,5,93.659889,7
Darwin's,5,67.226082,9
Dangerous,5,96.820358,14
Idea,5,95.107864,10
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
