text,level,conf,height
,1,-1.0,666
,2,-1.0,418
,3,-1.0,418
,4,-1.0,418
   ,5,95.0,418
,2,-1.0,47
,3,-1.0,47
,4,-1.0,47
es,5,34.674332,28
"""FOURTH",5,36.696991,43
Samron,5,0.0,37
,2,-1.0,96
,3,-1.0,96
,4,-1.0,96
DATA,5,69.040352,96
MINING,5,56.074902,77
,2,-1.0,65
,3,-1.0,65
,4,-1.0,30
Practical,5,96.657707,24
Machine,5,92.377953,23
Learning,5,92.377953,30
,4,-1.0,30
Tools,5,95.688034,24
and,5,95.688034,23
Techniques,5,96.30677,30
,2,-1.0,68
,3,-1.0,68
,4,-1.0,68
MK,5,12.523338,68
lan,5,86.316437,11
H.,5,87.40358,11
Witten,5,86.877945,11
«,5,28.698929,3
ibe,5,56.290382,11
Frank,5,93.786316,11
+,5,77.189522,3
Mark,5,96.454506,11
A.,5,89.240189,11
Hall,5,89.240189,11
»,5,55.09705,3
Christopher,5,79.581192,14
J.,5,79.581192,11
Pal,5,91.868286,11
