text,level,conf,height
,1,-1.0,836
,2,-1.0,28
,3,-1.0,28
,4,-1.0,28
141-0294,5,44.940666,28
339063,5,44.542358,28
‘itr,5,0.0,6
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
Developments,5,96.339119,21
in,5,96.769646,15
seismic,5,96.714577,15
structural,5,96.881706,16
,2,-1.0,39
,3,-1.0,39
,4,-1.0,22
analysis,5,96.953552,21
and,5,96.916771,16
design,5,96.692902,20
,4,-1.0,11
gor,5,84.655304,10
P.,5,39.211521,7
"Popor,",5,33.932259,10
CarlK.,5,27.12178,8
Grigorlan,5,70.50769,11
and,5,81.076561,8
Tzaog-Shuoh,5,31.492943,10
Yang.,5,69.375824,10
,2,-1.0,21
,3,-1.0,21
,4,-1.0,8
Deparment,5,67.261658,8
of,5,68.45797,28
Ci,5,59.519596,7
"Ergincering,",5,14.380638,8
Univers,5,15.043251,7
of,5,83.064537,7
"Califor,",5,44.861862,7
"Berkley,",5,48.480297,8
CA,5,58.822308,7
91720.,5,50.47562,7
USA,5,84.457924,7
,4,-1.0,8
(Received,5,46.42981,7
December,5,81.15712,6
1935;,5,74.911079,7
raed,5,59.737171,6
sertion,5,31.814056,4
accepted,5,31.705711,8
March,5,76.005508,6
194),5,63.844872,7
,2,-1.0,142
,3,-1.0,46
,4,-1.0,10
After,5,86.183571,9
a,5,86.183571,28
brief,5,88.959023,9
overview,5,94.950317,9
of,5,96.591782,28
the,5,96.994408,28
world-wide,5,93.306229,9
state-of-practice,5,75.200546,10
in,5,75.200546,6
seismic,5,81.662659,7
,4,-1.0,10
"design,",5,82.925438,9
nonlinear,5,93.398788,8
structural,5,96.850983,8
response,5,96.323753,8
spectra,5,96.323753,9
for,5,96.952469,8
"strength,",5,96.690506,10
"ductility,",5,72.723633,10
,4,-1.0,11
and,5,83.579323,9
number,5,83.881744,9
of,5,83.881744,9
yield,5,96.207169,10
reversals,5,88.19603,9
as,5,96.2668,7
a,5,94.546547,28
function,5,96.463997,9
of,5,96.463997,9
building,5,93.587639,11
period,5,90.152756,10
and.,5,60.307354,9
,4,-1.0,10
structure,5,95.905411,7
strength,5,96.448982,10
for,5,96.717926,8
several,5,96.301529,8
strong,5,96.39196,9
motion,5,96.886665,8
earthquakes,5,96.547424,10
are,5,96.685944,6
pre,5,91.216072,8
,3,-1.0,95
,4,-1.0,9
Sented.,5,74.251236,8
Illustrations,5,65.797836,8
of,5,93.282654,9
three-dimensional,5,89.875931,8
mesh,5,96.381424,8
surfaces,5,88.2882,9
for,5,95.227089,9
the,5,86.563499,8
,4,-1.0,10
absolute,5,59.039154,8
seismic,5,96.802856,8
energy,5,91.754181,8
input,5,95.926216,9
and,5,96.643394,8
the,5,89.780823,8
dissipated,5,96.952698,10
hysteresis,5,96.646751,10
energy,5,76.641388,8
,4,-1.0,11
for,5,85.899086,9
selected,5,95.649155,8
earthquakes,5,91.873253,11
are,5,96.175652,6
given.,5,96.107002,11
These,5,96.912491,9
results,5,94.708321,8
are,5,96.513496,6
compared,5,96.829353,10
,4,-1.0,10
with,5,79.440742,8
conventionally,5,94.011002,10
evaluated,5,96.64019,8
elastic,5,88.365662,7
response,5,88.365662,8
spectra,5,94.580307,9
and,5,89.4916,8
code,5,89.4916,8
,4,-1.0,11
criteria.,5,80.703842,9
The,5,96.92643,9
issues,5,96.681854,6
of,5,93.268646,28
overstrength,5,93.009407,11
factors,5,96.424179,9
in,5,96.925041,6
the,5,96.86039,9
Mexico,5,96.404198,9
City,5,96.825806,28
code,5,87.315865,28
,4,-1.0,11
fare,5,53.840271,6
then,5,90.003448,8
examined.,5,94.757919,8
The,5,96.742493,8
remainder,5,96.758759,8
of,5,96.897118,9
the,5,96.792938,8
paper,5,96.705124,8
is,5,94.346786,6
devoted,5,94.346786,8
to,5,95.16568,7
the,5,88.081985,8
,4,-1.0,11
description,5,85.281433,11
of,5,96.796837,9
a,5,82.354271,6
simple,5,82.354271,11
frictional,5,94.907944,9
energy,5,96.831558,8
dissipating,5,96.060738,11
connection.,5,68.531578,7
Its,5,68.531578,9
,4,-1.0,11
behaviour,5,49.826588,8
in,5,95.29599,6
cyclic,5,28.638657,10
tests,5,89.285507,7
and,5,94.228088,8
in,5,94.666222,6
shake,5,93.233147,8
tabi,5,46.023941,8
Of,5,63.156055,9
a,5,56.865143,28
three-storey,5,87.895027,10
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
 ,5,95.0,6
 ,5,95.0,10
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
  ,5,95.0,7
  ,5,95.0,8
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
braced,5,95.089165,9
steel,5,59.00909,9
structure,5,96.631256,8
is,5,66.35466,6
illustrated.,5,66.35466,9
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Keywords:,5,96.76931,11
energy,5,93.031952,9
"dissipation,",5,93.222511,11
fr,5,64.295013,8
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
"n,",5,41.642475,8
Mexico,5,96.690086,9
City,5,96.81723,11
seismic,5,75.536812,7
"code,",5,88.609245,10
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
seismic,5,93.961243,6
"design,",5,93.291512,10
over-strength,5,90.615227,10
factors,5,89.824661,8
,2,-1.0,345
,3,-1.0,110
,4,-1.0,9
“The,5,77.235619,7
worldwide,5,29.207718,7
state,5,50.601688,6
of,5,50.601688,7
sekmic,5,0.0,5
design,5,28.997795,9
practice,5,63.250732,7
based,5,67.332718,7
on,5,41.384998,5
,4,-1.0,10
current,5,13.000717,6
codes,5,55.036133,28
and,5,66.818344,28
some,5,86.360428,28
development,5,45.187611,9
in,5,45.187611,5
onlinear,5,69.960678,8
seismic,5,51.632648,6
,4,-1.0,9
Spectra,5,31.591095,7
ate,5,52.773571,5
highlighted,5,43.435856,9
frst.,5,54.436691,7
These,5,90.298737,7
inclade,5,18.642647,7
displacement,5,69.305481,9
,4,-1.0,9
het,5,36.337189,9
and,5,46.092125,7
2,5,82.084961,5
numberof,5,65.968933,7
yield,5,69.63089,9
reversals,5,75.863388,7
specta,5,59.173927,8
for,5,86.555588,7
the,5,86.555588,7
,4,-1.0,8
1086,5,70.266685,7
San,5,92.353035,7
"Salvador,",5,51.933994,7
the,5,51.933994,28
I9HS,5,0.0,7
Chile,5,80.470276,28
andthe,5,86.884338,7
1985,5,84.778564,8
Mexico,5,91.704193,7
,4,-1.0,10
City,5,77.558792,9
earthquakes.,5,41.345169,9
‘Thee-dimensiona,5,39.578598,8
mesh,5,69.865906,8
surfaces,5,43.489677,7
of,5,66.997368,7
,4,-1.0,10
solute,5,46.806961,7
input,5,60.123451,9
energy,5,60.123451,7
and,5,94.106934,7
hysteretic,5,64.041336,9
energy,5,64.041336,7
forthe,5,70.877647,7
19RS,5,46.449123,7
,4,-1.0,9
‘Mexico,5,60.297951,7
City,5,61.6161,7
carta,5,27.464737,9
are,5,41.657494,28
daplayed.,5,41.657494,9
These,5,59.105549,7
surfaces,5,33.156517,6
show,5,77.401543,7
,4,-1.0,10
apically,5,23.710838,10
the,5,55.942856,7
sesmic,5,56.952076,5
enerey,5,76.045441,7
demands,5,87.458939,8
on,5,89.659767,6
the,5,76.981094,8
strata,5,0.0,8
,4,-1.0,9
Sytem,5,52.433342,8
subjected,5,78.507423,9
to,5,76.303787,6
the,5,90.045151,7
Mexico,5,43.60421,7
Cty,5,54.161854,9
earthquake,5,53.652527,9
