text,level,conf,height
,1,-1.0,648
,2,-1.0,316
,3,-1.0,316
,4,-1.0,316
 ,5,95.0,316
,2,-1.0,71
,3,-1.0,71
,4,-1.0,29
GUIDE,5,94.431122,29
TO,5,96.856476,29
,4,-1.0,29
ESSENTIAL,5,96.184875,29
MATH,5,96.544304,28
,2,-1.0,37
,3,-1.0,37
,4,-1.0,16
A,5,69.857468,14
REVIEW,5,69.857468,14
FOR,5,96.994057,15
"PHYSICS,",5,96.946442,16
,4,-1.0,15
CHEMISTRY,5,96.417374,15
AND,5,96.590698,15
ENGINEERING,5,96.913803,15
STUDENTS,5,96.561989,15
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
SECOND,5,87.767769,11
EDITION,5,71.631859,11
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
S.,5,92.221054,14
M.,5,92.200974,14
BLINDER,5,92.320175,14
