text,level,conf,height
,1,-1.0,842
,2,-1.0,44
,3,-1.0,44
,4,-1.0,10
‘The,5,79.16243,10
Gold,5,96.863564,10
of,5,96.863564,10
The,5,96.922661,10
Gods,5,95.845741,10
,4,-1.0,13
By,5,96.978821,13
,4,-1.0,10
Erich,5,89.259026,10
Von,5,93.218414,10
Daniken,5,92.984856,10
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
Contents:,5,96.13369,10
,2,-1.0,29
,3,-1.0,29
,4,-1.0,12
Cover,5,76.573944,10
Pictures,5,96.431442,9
(Front),5,87.294815,11
(,5,86.218849,11
,4,-1.0,10
ide,5,95.05658,10
Cover,5,90.177452,10
Blurb,5,79.339638,9
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
 ,5,95.0,12
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
1,5,59.254093,9
-,5,59.254093,1
The,5,94.583359,9
Gold,5,95.539696,10
Of,5,94.646957,9
The,5,96.871887,9
Gods,5,94.879822,10
,2,-1.0,81
,3,-1.0,81
,4,-1.0,65
  ,5,95.0,65
 ,5,95.0,7
,4,-1.0,14
 ,5,95.0,14
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
5,5,37.811512,10
-,5,37.811512,1
On,5,76.618057,28
Th,5,76.618057,28
,2,-1.0,29
,3,-1.0,29
,4,-1.0,13
6,5,92.307587,9
-,5,75.70015,1
"Rarities,",5,96.079857,9
Curiosities,5,89.418274,9
And,5,89.418274,9
Speculations,5,86.011917,13
,4,-1.0,9
1.,5,54.550354,9
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
 ,5,95.0,19
,2,-1.0,29
,3,-1.0,29
,4,-1.0,13
Bibliography,5,96.134743,13
(Removed),5,93.426727,12
,4,-1.0,11
Index,5,96.715416,9
(Removed),5,96.506538,11
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
Sean,5,93.304268,10
/,5,93.129013,10
Edit,5,96.210052,10
Notes,5,96.871971,10
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
Versions,5,96.66774,9
available,5,96.413521,10
and,5,96.957619,9
duly,5,96.940506,13
posted:,5,96.861282,13
,2,-1.0,144
,3,-1.0,12
,4,-1.0,12
Format:,5,96.810822,9
v1.0,5,84.618279,9
(Text),5,96.403076,12
,3,-1.0,13
,4,-1.0,13
Format:,5,96.912788,9
v1.0,5,88.847725,10
(PDB,5,91.332008,11
-,5,91.387611,1
open,5,94.089043,10
format),5,94.089043,11
,3,-1.0,11
,4,-1.0,11
Format:,5,93.515274,9
v1.5,5,71.671066,9
(HTML),5,93.469986,11
,3,-1.0,12
,4,-1.0,12
Format:,5,96.899574,9
v1.5,5,82.320763,9
(PDE,5,82.320763,10
-,5,82.832298,1
no,5,96.883408,7
security),5,94.330078,12
,3,-1.0,10
,4,-1.0,10
Genera:,5,89.947205,9
UFO,5,95.96785,10
,3,-1.0,29
,4,-1.0,12
Extra’s:,5,64.083282,10
Pictures,5,96.701561,9
Included,5,96.311737,10
(for,5,87.544281,12
all,5,87.544281,10
versions),5,96.516151,9
,4,-1.0,13
Copyright:,5,84.59597,13
,3,-1.0,10
,4,-1.0,10
First,5,94.187866,9
Scanned:,5,96.587189,10
2002,5,84.754074,10
,3,-1.0,10
,4,-1.0,10
Posted,5,96.747482,10
to:,5,93.292648,8
alt.binaries.e-book,5,64.755455,10
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
Note:,5,92.057968,10
,2,-1.0,29
,3,-1.0,29
,4,-1.0,13
1.,5,85.077316,9
The,5,93.468414,10
"Html,",5,47.525616,11
Text,5,96.184326,9
and,5,93.123245,9
Pdb,5,72.250008,10
versions,5,91.488892,7
are,5,94.806831,7
bundled,5,96.50589,10
together,5,96.765739,12
in,5,96.734344,6
one,5,96.680641,7
zip,5,96.427711,10
file.,5,72.190262,10
,4,-1.0,13
2.,5,96.452362,10
The,5,96.49501,9
Pdf,5,74.282761,10
files,5,96.016983,10
are,5,96.9291,6
sent,5,96.422752,8
as,5,82.760689,6
a,5,82.760689,6
single,5,96.271469,13
zip,5,92.711967,10
(and,5,92.711967,11
naturally,5,94.765816,13
does,5,94.765816,9
not,5,89.803993,8
have,5,89.803993,9
the,5,96.81472,10
file,5,96.877914,10
structure,5,93.946823,8
below),5,93.878311,11
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Structure:,5,90.19381,10
(Folder,5,90.19381,11
and,5,96.747849,9
Sub,5,91.56826,10
Folders),5,91.56826,11
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Main,5,93.54837,9
Folder,5,90.82283,9
-,5,90.82283,28
HTML,5,96.755066,9
Files,5,96.665138,9
