text,level,conf,height
,1,-1.0,503
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,86
,3,-1.0,86
,4,-1.0,86
la,5,11.692902,86
,2,-1.0,125
,3,-1.0,125
,4,-1.0,42
"The,",5,57.931168,42
.,5,49.176575,9
,4,-1.0,45
Connectivity,5,96.389832,45
,4,-1.0,44
Hypothesis,5,96.069672,44
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Foundations,5,96.578262,14
of,5,96.874962,14
,2,-1.0,171
,3,-1.0,171
,4,-1.0,171
 ,5,95.0,171
,2,-1.0,171
,3,-1.0,171
,4,-1.0,171
 ,5,95.0,171
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,43
,3,-1.0,43
,4,-1.0,18
an,5,93.877518,10
Integral,5,96.776405,18
Science,5,96.621162,14
of,5,96.621162,14
"Quantum,",5,96.973602,16
,4,-1.0,16
"Cosmos,",5,95.067528,15
"Life,",5,94.429726,16
and,5,92.453407,14
Consciousness,5,96.805962,14
,2,-1.0,48
,3,-1.0,48
,4,-1.0,48
 ,5,95.0,48
