text,level,conf,height
,1,-1.0,684
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Studies,5,95.375725,13
in,5,95.593277,12
Computational,5,95.553749,17
Intelligence,5,91.660316,17
584,5,91.660316,12
,2,-1.0,49
,3,-1.0,49
,4,-1.0,26
Urszula,5,86.792183,20
Stariczyk,5,38.829304,25
,4,-1.0,21
Lakhmi,5,68.057434,21
C.,5,68.057434,19
Jain,5,69.471298,19
Editors,5,84.81926,20
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,613
,3,-1.0,613
,4,-1.0,613
 ,5,95.0,613
,2,-1.0,237
,3,-1.0,237
,4,-1.0,44
Feature,5,96.54319,44
,4,-1.0,46
Selection,5,96.992607,46
for,5,96.975906,46
,4,-1.0,47
Data,5,96.594666,45
and,5,96.594666,47
Pattern,5,96.91584,45
,4,-1.0,58
Recognition,5,96.269836,58
,2,-1.0,34
,3,-1.0,34
,4,-1.0,34
a,5,88.941269,29
Springer,5,96.248177,31
