text,level,conf,height
,1,-1.0,792
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
DRAFT,5,96.575417,8
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
Lecture,5,58.117489,10
Notes,5,96.690231,10
in:,5,96.302368,10
,2,-1.0,44
,3,-1.0,44
,4,-1.0,14
FINITE,5,96.766968,14
ELEMENT,5,96.868927,14
II,5,92.840538,14
,4,-1.0,15
Solid,5,96.013885,15
Mechanics,5,95.776672,14
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
CVEN,5,92.134537,10
6525,5,93.47039,9
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
@VICTOR,5,91.123466,12
E.,5,82.231659,10
"SAOUMA,",5,92.564743,13
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
SPRING,5,96.294853,10
2001,5,96.327354,10
,2,-1.0,97
,3,-1.0,97
,4,-1.0,97
 ,5,95.0,97
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
Dept.,5,84.99707,10
of,5,93.267174,8
Civil,5,93.267174,8
Environmental,5,89.419289,8
and,5,93.436523,8
Architectural,5,95.599968,8
Engineering,5,77.376785,10
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
University,5,95.489426,8
of,5,95.489426,8
"Colorado,",5,94.02977,8
"Boulder,",5,96.232101,8
CO,5,92.973564,8
80300-0428,5,66.24192,8
