text,level,conf,height
,1,-1.0,627
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,42
,3,-1.0,42
,4,-1.0,18
FOUNDATION,5,96.540001,18
ANALYSIS,5,95.764236,18
AND,5,96.157631,18
,4,-1.0,18
DESIGN,5,96.399422,18
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Fifth,5,88.832947,11
Edition,5,88.014496,10
,2,-1.0,48
,3,-1.0,48
,4,-1.0,14
Joseph,5,93.287193,14
E.,5,92.625397,11
"Bowles,",5,88.616806,13
"PE,",5,11.094322,13
S.E.,5,84.655159,11
,4,-1.0,9
Consulting,5,0.0,9
EngineerSofvare,5,35.57618,9
Consatan!,5,0.0,7
,4,-1.0,19
rnin,5,0.0,9
Compa,5,46.376259,19
Sef,5,42.006016,9
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
 ,5,95.0,36
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Sua,5,55.48307,28
at,5,51.421738,6
SagpaeSyaey,5,0.0,16
Taye,5,54.995888,7
Toe,5,1.435707,6
