text,level,conf,height
,1,-1.0,602
,2,-1.0,123
,3,-1.0,123
,4,-1.0,123
"iy,",5,33.583839,123
,2,-1.0,52
,3,-1.0,52
,4,-1.0,11
2:,5,59.657246,11
,4,-1.0,17
rt,5,12.201454,16
=,5,96.196182,13
,4,-1.0,13
rs,5,0.0,12
a,5,40.116463,4
,4,-1.0,9
4,5,30.653374,9
"""",5,0.0,2
,2,-1.0,69
,3,-1.0,69
,4,-1.0,69
HEUNFOLDINGOFLANGUAGE,5,65.693771,69
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
n,5,92.734459,8
evolutionary,5,96.512146,18
tou,5,96.849213,9
,2,-1.0,46
,3,-1.0,46
,4,-1.0,46
une,5,0.0,46
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
 ,5,95.0,13
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
ind’s,5,89.088837,13
greatest,5,96.842476,14
invention,5,96.64502,13
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
GUY,5,96.761024,26
DEUTSCHER,5,95.783951,26
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
