text,level,conf,height
,1,-1.0,479
,2,-1.0,50
,3,-1.0,50
,4,-1.0,17
FUNDAMENTALS,5,95.879616,17
,4,-1.0,17
OF,5,96.589455,17
CRYPTOLOGY,5,96.296417,17
,2,-1.0,50
,3,-1.0,50
,4,-1.0,50
 ,5,95.0,50
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
A,5,95.631767,8
Professional,5,96.039169,8
Reference,5,96.785614,8
and,5,96.730972,8
Interactive,5,92.587639,8
Tutorial,5,84.920425,9
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Tien,5,0.0,11
GA:,5,0.0,11
van,5,87.296799,8
Tilberg,5,66.565849,14
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
"""78",5,44.758739,14
re,5,36.853943,5
hel,5,50.968723,5
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
