text,level,conf,height
,1,-1.0,612
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
A,5,22.836273,18
,2,-1.0,186
,3,-1.0,186
,4,-1.0,186
    ,5,95.0,186
,2,-1.0,58
,3,-1.0,58
,4,-1.0,36
(x,5,26.740448,36
,4,-1.0,29
LA,5,32.106613,29
,2,-1.0,169
,3,-1.0,78
,4,-1.0,39
"Capitalism,",5,81.075554,39
,4,-1.0,33
Socialism,5,96.046318,33
,3,-1.0,77
,4,-1.0,39
&,5,93.224785,31
Democracy,5,96.518974,39
,4,-1.0,22
Joseph,5,96.882805,21
A.,5,96.644463,16
Schumpeter,5,96.617355,21
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
with,5,94.958633,10
a,5,78.893738,4
new,5,78.893738,28
introduction,5,93.537971,12
by,5,92.982269,28
Richard,5,92.982269,10
Swedberg,5,96.628052,13
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
Also,5,95.541954,16
available,5,95.541954,16
as,5,96.66819,12
a,5,96.466652,12
printed,5,95.606461,20
book,5,96.740089,16
,2,-1.0,63
,3,-1.0,63
,4,-1.0,63
 ,5,95.0,63
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
see,5,94.206436,11
title,5,96.925613,14
verso,5,96.97715,11
for,5,96.97715,14
ISBN,5,96.577141,14
details,5,96.053307,14
