text,level,conf,height
,1,-1.0,594
,2,-1.0,52
,3,-1.0,52
,4,-1.0,14
THE,5,96.420464,14
,4,-1.0,14
ORGONE,5,92.786766,14
ACCUMULATOR,5,95.86454,14
,4,-1.0,14
HANDBOOK,5,96.163033,14
,2,-1.0,31
,3,-1.0,31
,4,-1.0,15
Construction,5,96.750801,12
"Plans,",5,95.696449,13
Experimental,5,95.26059,14
Use,5,96.894173,11
and,5,96.821327,11
,4,-1.0,15
Protection,5,96.065376,10
Against,5,96.4701,15
Toxic,5,93.859787,11
Energy,5,96.818024,15
,2,-1.0,32
,3,-1.0,32
,4,-1.0,17
by,5,96.700089,26
James,5,93.298576,17
"DeMeo,",5,92.126305,15
Ph.D.,5,95.871078,13
,4,-1.0,15
With,5,96.47448,12
a,5,95.83506,8
Foreword,5,95.637215,11
by,5,96.676659,14
Eva,5,96.705597,11
"Reich,",5,95.584831,13
M.D.,5,94.180931,11
,2,-1.0,294
,3,-1.0,294
,4,-1.0,294
 ,5,95.0,294
