text,level,conf,height
,1,-1.0,596
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
|,5,15.698357,10
,2,-1.0,63
,3,-1.0,63
,4,-1.0,63
ium,5,92.342697,30
plants,5,96.397293,63
,2,-1.0,30
,3,-1.0,30
,4,-1.0,14
},5,25.500557,14
,4,-1.0,8
i,5,90.666924,8
,4,-1.0,11
?,5,43.64838,11
,4,-1.0,8
§,5,90.094154,8
,4,-1.0,11
:,5,34.494705,11
,4,-1.0,11
i,5,66.967735,11
,4,-1.0,12
i,5,81.778336,12
,4,-1.0,12
:,5,57.307392,12
,4,-1.0,30
2,5,51.190903,12
d,5,83.503952,3
,4,-1.0,12
£,5,0.0,12
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
aquar,5,92.353798,29
,2,-1.0,377
,3,-1.0,377
,4,-1.0,377
 ,5,95.0,377
