text,level,conf,height
,1,-1.0,792
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
INTEGRAL,5,96.782372,15
SPIRITUAL,5,95.655113,15
CENTER,5,95.969177,15
CD,5,35.958336,15
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,128
,3,-1.0,128
,4,-1.0,128
 ,5,95.0,128
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
JUNE,5,75.972542,11
"2426,",5,71.674133,12
2005.,5,60.454903,11
"DENVER,CO",5,74.256599,12
,2,-1.0,54
,3,-1.0,54
,4,-1.0,17
What,5,95.843193,13
Is,5,93.635361,13
Integral,5,95.389038,17
Spirituality?,5,94.19854,17
,4,-1.0,9
Ken,5,87.411583,9
Wilber,5,51.395638,9
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
(first,5,19.115631,10
"rat,",5,19.115631,9
June,5,55.84938,8
2005),5,86.451523,9
