text,level,conf,height
,1,-1.0,792
,2,-1.0,26
,3,-1.0,26
,4,-1.0,12
"Sex,",5,94.66935,11
"Ecology,",5,92.423439,12
&,5,92.922081,9
Spirituality,5,95.985512,12
,4,-1.0,12
By,5,96.830185,12
Ken,5,95.348099,9
Wilber,5,96.248459,9
,2,-1.0,176
,3,-1.0,20
,4,-1.0,7
Inteoduetion,5,51.590988,7
,4,-1.0,8
00K,5,62.180969,8
ONE,5,84.971313,8
,3,-1.0,7
,4,-1.0,7
1,5,92.942749,7
,3,-1.0,7
,4,-1.0,7
“The,5,73.323372,7
Web,5,95.828217,7
of,5,96.804367,7
Lite,5,71.572319,7
,3,-1.0,7
,4,-1.0,7
2,5,96.543213,7
,3,-1.0,8
,4,-1.0,8
‘The,5,79.617989,7
Pattern,5,95.371201,7
That,5,95.651291,7
Connects,5,83.383774,8
,3,-1.0,7
,4,-1.0,7
3,5,94.064949,7
,3,-1.0,8
,4,-1.0,8
Individual,5,60.505337,7
ane,5,57.646591,7
Soci,5,65.533554,8
,3,-1.0,7
,4,-1.0,7
4,5,95.578995,7
,3,-1.0,7
,4,-1.0,7
‘View,5,29.359779,7
trom,5,77.927612,7
Within,5,83.890892,7
,3,-1.0,7
,4,-1.0,7
5,5,83.327332,7
,3,-1.0,19
,4,-1.0,9
‘The,5,86.993355,7
Emergence,5,54.691704,9
of,5,96.868347,7
Human,5,93.36525,7
Nature,5,79.943848,7
,4,-1.0,7
6,5,61.938148,7
,3,-1.0,9
,4,-1.0,9
"Magic,",5,67.22229,9
"Mythic,",5,78.64595,9
and,5,87.977013,7
Beyond,5,93.385651,9
,3,-1.0,7
,4,-1.0,7
7,5,94.876129,7
,2,-1.0,224
,3,-1.0,19
,4,-1.0,7
“The,5,72.942329,7
Further,5,89.900177,7
Reaches,5,90.412041,7
of,5,96.919899,7
Human,5,95.792946,7
Nature,5,95.056427,7
,4,-1.0,7
a,5,74.210281,7
,3,-1.0,9
,4,-1.0,9
‘The,5,84.246223,7
Depths,5,68.788719,9
ofthe,5,68.788719,7
Divine,5,95.249519,7
,3,-1.0,8
,4,-1.0,8
200K,5,57.582821,8
TWO,5,72.067596,8
,3,-1.0,7
,4,-1.0,7
9,5,39.108032,7
,3,-1.0,9
,4,-1.0,9
‘The,5,84.405945,7
Way,5,96.80632,9
Up,5,52.523994,9
Is,5,52.523994,7
the,5,96.013336,7
Way,5,96.914536,9
Down,5,96.826271,7
,3,-1.0,7
,4,-1.0,7
10,5,74.314056,7
,3,-1.0,10
,4,-1.0,10
‘This,5,87.21785,7
"Worldly,",5,45.503731,9
Otherworialy,5,35.135612,10
,3,-1.0,7
,4,-1.0,7
"""",5,40.620453,7
,3,-1.0,7
,4,-1.0,7
Brave,5,86.577988,7
New,5,86.577988,7
World,5,92.158798,7
,3,-1.0,7
,4,-1.0,7
2,5,81.325768,7
,3,-1.0,10
,4,-1.0,10
‘The,5,88.128532,7
Collapse,5,61.169422,10
of,5,61.169422,7
the,5,96.679024,7
Kosmos,5,89.45533,7
,3,-1.0,7
,4,-1.0,7
3,5,69.004684,7
,3,-1.0,20
,4,-1.0,7
‘The,5,85.958069,7
Dominance,5,90.032219,7
of,5,74.811859,7
the,5,74.811859,7
Descendere,5,50.404541,7
,4,-1.0,7
4,5,60.678883,7
,3,-1.0,10
,4,-1.0,10
‘The,5,83.38237,7
Unpacking,5,95.410843,9
of,5,96.909248,7
God,5,62.876961,8
,3,-1.0,7
,4,-1.0,7
Notes,5,86.737183,7
,3,-1.0,7
,4,-1.0,7
References,5,84.124229,7
,3,-1.0,8
,4,-1.0,8
Credits,5,61.057392,8
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Introduction,5,82.108803,9
,2,-1.0,124
,3,-1.0,124
,4,-1.0,8
‘re,5,20.732452,5
suru,5,0.0,28
aarge,5,0.0,28
tl,5,63.72081,6
sonabing—,5,11.753227,8
ta,5,63.794971,28
anything,5,0.0,7
is,5,0.0,28
appaning,5,6.012154,8
al,5,59.147339,6
Tere,5,71.839661,28
wa,5,71.955582,28
"ating,",5,32.648125,8
hen,5,56.185223,6
,4,-1.0,8
or,5,59.894707,6
we,5,61.558815,28
"ae,",5,64.122673,5
Th,5,64.122673,7
tet,5,24.501068,7
me,5,56.094528,6
,4,-1.0,12
To,5,69.460838,7
sri,5,0.0,8
ering,5,35.329254,7
aveston,5,31.669716,7
"""Why",5,41.228733,7
thar,5,67.17778,6
samathng,5,9.428268,11
ror,5,54.082928,6
han,5,65.867455,6
ting?,5,25.730377,7
hae,5,58.305897,28
nae,5,54.363358,6
avay,5,0.0,7
bon,5,55.961838,6
two,5,61.001064,6
ane,5,34.645233,7
,4,-1.0,8
“imately,5,46.718143,7
ase!,5,34.453934,28
random,5,48.642365,28
us,5,55.523483,7
ht,5,55.591507,7
hapereoos,5,26.619446,7
The,5,55.633854,7
piosphy,5,23.575729,28
"eo,",5,0.0,7
ro,5,69.983139,28
mat,5,58.994202,6
ow,5,46.20282,6
sepisttas,5,0.0,7
,4,-1.0,15
Reg,5,14.802025,14
SoS,5,18.645615,4
teen,5,13.264679,4
bo,5,32.597565,4
san,5,45.579285,4
npc,5,39.385628,6
nace,5,31.984184,6
domo,5,41.123867,4
ee,5,48.859024,4
,4,-1.0,18
etn,5,23.664375,16
i,5,59.868423,16
te,5,38.727459,16
these,5,38.38295,16
Yan,5,58.407051,18
eve,5,50.351402,16
ae,5,39.865196,16
,4,-1.0,8
aor,5,56.030212,28
"tna,",5,51.291077,28
rk,5,50.28513,6
the,5,64.151001,6
anor,5,14.554077,6
these,5,43.357742,6
medrn,5,40.941605,6
and,5,0.0,6
mate”,5,53.493504,4
Secpies,5,0.0,8
givers,5,0.0,8
oop!,5,46.370739,8
(and,5,46.370739,7
"rr,",5,6.349442,6
Dart,5,57.73661,6
,4,-1.0,8
‘sk,5,24.285126,8
aout,5,28.900879,6
lara,5,6.370667,6
eapore,5,35.648903,28
see,5,54.617496,6
hams,5,40.047783,6
conton,5,32.280289,6
sud,5,56.347885,6
pss,5,43.944324,8
sor,5,61.835587,4
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
 ,5,95.0,8
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
