text,level,conf,height
,1,-1.0,792
,2,-1.0,31
,3,-1.0,31
,4,-1.0,10
A,5,71.046715,9
RADICAL,5,76.847084,10
NEW,5,96.378738,10
WAY,5,96.378738,10
TO,5,96.927002,10
SELECT,5,96.115509,10
AND,5,96.115509,10
PREPARE,5,96.669037,10
FOODS,5,96.243004,10
TO,5,95.400452,10
,4,-1.0,10
RECLAIM,5,96.582375,10
THE,5,95.905945,9
NUTRIENTS,5,95.905945,10
AND,5,96.413239,10
FLAVOR,5,96.413239,10
WE'VE,5,78.861908,10
LOST,5,95.892647,10
,2,-1.0,47
,3,-1.0,47
,4,-1.0,47
EATING,5,95.724831,47
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
on,5,52.546913,12
mae,5,31.80423,36
,2,-1.0,74
,3,-1.0,74
,4,-1.0,74
WILD,5,96.732224,70
SIDE,5,96.291107,74
,2,-1.0,403
,3,-1.0,403
,4,-1.0,221
  ,5,95.0,221
,4,-1.0,116
  ,5,95.0,116
,4,-1.0,66
 ,5,95.0,66
,2,-1.0,126
,3,-1.0,77
,4,-1.0,9
“Phenomenal.,5,83.799377,9
,4,-1.0,9
The,5,96.850189,9
cure,5,93.967049,7
for,5,93.967049,9
what,5,96.210632,9
,4,-1.0,11
ails,5,93.023308,9
us,5,95.5271,7
is,5,96.500954,7
right,5,96.639183,11
"here,",5,96.526131,10
,4,-1.0,9
and,5,93.380203,9
it’s,5,79.297867,9
delicious.”,5,95.070793,9
,4,-1.0,7
—DAN,5,50.315784,7
"BARBER,",5,93.216148,7
,3,-1.0,40
,4,-1.0,8
(CHEF,5,53.171471,8
AND,5,93.099876,8
CO-OWNER,5,51.408852,8
OF,5,94.367409,28
,4,-1.0,7
BLUE,5,78.926476,7
HILL,5,51.165852,7
AND,5,51.165852,7
,4,-1.0,7
BLUE,5,81.533836,7
HILL,5,50.8778,7
AT,5,50.8778,7
STONE,5,70.797043,7
BARNS,5,71.371902,7
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
JO,5,0.0,26
ROBINSON,5,4.021957,26
