text,level,conf,height
,1,-1.0,648
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
EE,5,22.944092,27
Microsoft,5,95.04969,17
,2,-1.0,382
,3,-1.0,382
,4,-1.0,382
   ,5,95.0,382
,2,-1.0,40
,3,-1.0,40
,4,-1.0,28
ference,5,42.618752,28
,4,-1.0,10
lutions,5,65.372864,10
,2,-1.0,148
,3,-1.0,148
,4,-1.0,44
Microsoft,5,96.486389,44
,4,-1.0,44
SharePoint,5,96.205269,44
2013,5,95.965347,42
,4,-1.0,44
Administration,5,95.731224,44
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Randy,5,72.835175,9
"Willams,",5,72.835175,7
CA,5,61.502407,28
"Collahan,",5,16.062195,8
Chris,5,30.808037,7
"Givens,",5,78.855881,8
Milan,5,61.852341,7
"Gros,",5,44.114746,8
Bran,5,44.114746,6
"Alderman,",5,62.123131,7
Jovier,5,30.597733,28
Barrera,5,70.343369,28
