text,level,conf,height
,1,-1.0,740
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Chapman,5,64.267197,14
&,5,93.152199,9
Hall/CRC,5,87.162682,14
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Machine,5,93.167595,10
L,5,63.814358,9
Recognition,5,96.855331,13
Series,5,96.912155,9
,2,-1.0,105
,3,-1.0,105
,4,-1.0,49
MACHIN,5,92.859657,49
,4,-1.0,49
LEARNING,5,96.560989,49
,2,-1.0,33
,3,-1.0,33
,4,-1.0,33
An,5,96.514839,23
Algorithmic,5,94.829887,33
Perspective,5,96.422997,32
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
SECOND,5,96.269051,20
EDITION,5,96.226997,19
,2,-1.0,388
,3,-1.0,388
,4,-1.0,388
 ,5,95.0,388
