text,level,conf,height
,1,-1.0,666
,2,-1.0,666
,3,-1.0,666
,4,-1.0,666
   ,5,95.0,666
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Vital,5,96.426796,15
techniques,5,96.426796,18
of,5,96.974289,26
Java,5,94.263603,26
7,5,90.842377,26
and,5,61.213493,26
PARI,5,0.0,26
Oa,5,0.0,10
enn,5,0.0,11
,2,-1.0,40
,3,-1.0,40
,4,-1.0,19
Benjamin,5,91.261497,19
J.,5,91.261497,27
Evans,5,90.67807,15
,4,-1.0,19
Martijn,5,93.104691,27
Verburg,5,89.739487,19
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
Fosewoeo,5,1.761276,12
6y,5,66.392235,9
Dr.,5,96.137779,26
Heinz,5,61.509789,13
Kabutz,5,85.478981,13
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
AMD,5,26.961838,21
vannins,5,0.0,10
