text,level,conf,height
,1,-1.0,648
,2,-1.0,67
,3,-1.0,67
,4,-1.0,25
COLLECTIVE,5,96.690132,25
,4,-1.0,25
INTELLIGENCE,5,96.091072,25
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Creating,5,96.953842,18
a,5,96.954422,9
Prosperous,5,96.777672,17
World,5,96.649391,13
at,5,96.976402,12
Peace,5,97.000328,13
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
 ,5,95.0,25
,2,-1.0,44
,3,-1.0,44
,4,-1.0,12
Foreword,5,96.941208,9
by,5,93.127151,12
Yochai,5,92.480362,9
Benkler,5,92.979996,9
,4,-1.0,12
(Re-mixed,5,87.765266,11
by,5,96.894585,12
Hassan,5,86.376953,9
Masum),5,93.093819,11
,4,-1.0,13
The,5,95.990204,10
Wealth,5,95.990204,10
of,5,96.334259,11
Networks:,5,91.617737,10
Remixed,5,96.938591,10
Highlights,5,96.746735,13
,2,-1.0,28
,3,-1.0,28
,4,-1.0,12
Prefaces,5,92.584717,9
by,5,96.789818,12
,4,-1.0,13
Thomas,5,96.36644,9
"Malone,",5,96.379242,9
Tom,5,95.26519,9
"Atlee,",5,90.634377,11
&,5,93.270027,9
Pierre,5,93.967209,9
Lévy,5,96.572227,13
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Edited,5,96.242088,14
by,5,96.242088,17
Mark,5,96.838417,13
Tovey,5,96.994255,17
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
 ,5,95.0,12
,2,-1.0,43
,3,-1.0,43
,4,-1.0,12
flerword,5,51.205162,9
by,5,96.941025,12
,4,-1.0,9
e,5,46.532448,7
Rt.,5,93.463539,9
"Hon,",5,78.224426,9
Paul,5,96.767334,9
Martin,5,92.994217,9
&,5,92.994217,9
Thomas,5,93.296829,9
Homer-Dixon,5,92.332405,9
,4,-1.0,12
The,5,96.676132,10
Internet,5,96.828201,9
and,5,96.652336,10
the,5,96.652336,10
Revitalization,5,94.433182,9
of,5,96.944466,11
Democracies,5,95.511154,9
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
  ,5,95.0,9
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
 ,5,95.0,10
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,20
,3,-1.0,20
,4,-1.0,9
arth,5,74.946762,7
Intelligence,5,42.100483,9
Network,5,95.45015,7
,4,-1.0,9
"‘Oakton,",5,73.830116,8
Virginia,5,79.802757,9
