text,level,conf,height
,1,-1.0,794
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
‘valbl,5,9.600464,28
online,5,51.100342,28
at,5,51.100342,6
wir,5,24.982956,28
sclencedrectcom,5,24.982956,7
,2,-1.0,48
,3,-1.0,48
,4,-1.0,13
sovence,5,33.522583,5
Ghorneers,5,0.0,5
IGINEERING,5,29.563164,13
,4,-1.0,34
el,5,27.124786,21
@,5,84.065674,22
TRUCTURES,5,16.446007,13
,4,-1.0,8
Asevit,5,0.0,8
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,32
,3,-1.0,32
,4,-1.0,16
Material,5,96.49984,12
modelling,5,96.123238,16
in,5,96.872612,12
the,5,96.831573,12
seismic,5,95.850586,12
response,5,96.902046,12
analysis,5,96.744072,16
for,5,96.744072,12
the,5,96.873474,12
design,5,96.390358,16
of,5,96.390358,12
RC,5,95.312759,12
,4,-1.0,12
framed,5,93.904297,12
structures,5,79.032623,10
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
Pankaj,5,79.722847,12
"Pankaj’,",5,61.117645,12
Ermiao,5,90.11544,9
Lin,5,96.931412,9
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Sco,5,32.348946,7
grin,5,48.007969,28
a,5,64.96228,5
"cy,",5,45.808392,7
The,5,35.02063,6
ry,5,50.990528,5
of,5,63.645622,28
argh,5,52.744221,6
dtr,5,39.540234,7
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
de,5,36.346519,5
8,5,51.075851,5
tn,5,55.431461,15
a,5,69.669655,6
ny,5,45.808228,5
a,5,51.844109,7
08,5,71.108185,5
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
shower,5,21.324081,8
response,5,50.838963,6
ot,5,55.948608,5
ndpedn,5,0.0,8
oth,5,63.629154,6
terial,5,51.930168,6
me,5,63.702522,6
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
1.,5,75.884995,7
Introduction,5,83.579697,7
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
,2,-1.0,105
,3,-1.0,33
,4,-1.0,9
Economic,5,73.15448,7
considerations,5,31.861984,5
and,5,72.264038,7
the,5,72.264038,7
seismic,5,49.738525,5
design,5,56.845078,9
phos:,5,41.194931,9
,4,-1.0,9
ophy,5,48.635941,9
dictate,5,43.435802,7
that,5,65.937988,7
building,5,52.48711,9
seuctures,5,62.699623,7
be,5,81.37072,28
able,5,48.762836,7
to,5,48.762836,28
resist,5,60.07954,5
major,5,77.127571,7
,4,-1.0,9
sarthquakes,5,0.0,9
without,5,53.188698,7
collapse,5,53.188698,9
but,5,54.298977,7
with,5,68.863983,7
ome,5,75.578682,5
stctual,5,0.0,7
dam,5,58.093834,7
,3,-1.0,69
,4,-1.0,9
age.,5,65.411255,7
Therefore,5,49.6325,7
i,5,53.299377,5
is,5,63.189095,5
imperative,5,42.263672,7
tat,5,81.496048,7
seismic,5,59.681961,5
design,5,72.018631,9
is,5,72.018631,4
based,5,69.428513,7
,4,-1.0,9
fn,5,68.636169,5
nonlinear,5,42.238419,7
analysis,5,45.461037,9
oF,5,54.245041,7
strvcues.,5,12.006569,5
Fr,5,73.236801,7
the,5,59.601418,7
noaliear,5,30.086761,7
anal,5,55.043724,7
,4,-1.0,9
dis,5,40.470222,7
of,5,43.093681,7
renfored,5,25.094505,7
concrete,5,42.151676,5
structures,5,27.565834,5
variety,5,21.701164,7
of,5,89.456963,7
models,5,88.522507,7
,4,-1.0,9
fave,5,71.817406,7
been,5,85.719131,7
considered,5,45.526573,7
[1.2].,5,44.504223,9
These,5,62.883362,7
include:,5,44.414944,7
linear,5,48.097687,7
