text,level,conf,height
,1,-1.0,648
,2,-1.0,648
,3,-1.0,648
,4,-1.0,196
    ,5,95.0,196
,4,-1.0,141
  ,5,95.0,141
,4,-1.0,117
  ,5,95.0,117
,4,-1.0,140
 ,5,95.0,140
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
_,5,15.04747,27
=,5,66.982864,11
Microsoft,5,96.816788,17
,2,-1.0,202
,3,-1.0,202
,4,-1.0,40
Advanced,5,96.415123,40
,4,-1.0,40
Solutions,5,96.255424,40
of,5,96.931938,40
,4,-1.0,40
Microsoft,5,93.301338,40
Shat,5,92.065674,38
,4,-1.0,38
Server,5,96.993118,38
2013,5,96.468826,38
,2,-1.0,91
,3,-1.0,91
,4,-1.0,91
Exam,5,95.917755,55
Ref,5,95.917755,59
|,5,59.545998,9
