text,level,conf,height
,1,-1.0,648
,2,-1.0,382
,3,-1.0,338
,4,-1.0,227
Step,5,47.68005,227
,4,-1.0,244
hs,5,27.905861,86
Bi,5,42.332382,13
sigp,5,47.0434,244
,2,-1.0,43
,3,-1.0,43
,4,-1.0,43
ule,5,49.612991,38
mc,5,48.257195,38
the,5,75.680809,43
ee,5,18.058922,43
,2,-1.0,123
,3,-1.0,123
,4,-1.0,123
 ,5,95.0,123
,2,-1.0,107
,3,-1.0,107
,4,-1.0,49
Microsoft,5,96.836632,49
,4,-1.0,47
Visio,5,96.619827,46
2013,5,96.804634,47
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
 ,5,95.0,18
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
 ,5,95.0,20
