text,level,conf,height
,1,-1.0,667
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,71
,3,-1.0,71
,4,-1.0,71
 ,5,95.0,20
  ,5,95.0,71
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
—,5,73.785492,10
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
=,5,93.190018,26
DATAWAREHOUSING,5,91.287689,20
IN,5,95.081375,20
THE,5,95.081375,20
AGE,5,96.475502,20
OF,5,96.746178,20
,2,-1.0,44
,3,-1.0,44
,4,-1.0,17
KRISH,5,96.538521,17
,4,-1.0,18
KRISHNAN,5,96.233574,18
,2,-1.0,667
,3,-1.0,667
,4,-1.0,667
 ,5,95.0,667
,2,-1.0,625
,3,-1.0,625
,4,-1.0,625
 ,5,95.0,625
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
