text,level,conf,height
,1,-1.0,792
,2,-1.0,39
,3,-1.0,39
,4,-1.0,39
Neurosurgery,5,95.898376,39
,2,-1.0,79
,3,-1.0,79
,4,-1.0,32
Tricks,5,96.526772,32
of,5,96.050217,32
the,5,96.765419,32
Trade,5,96.120857,32
,4,-1.0,22
Cranial,5,96.485588,22
,2,-1.0,105
,3,-1.0,15
,4,-1.0,15
Remi,5,96.97422,15
Nader,5,96.97422,15
,3,-1.0,83
,4,-1.0,18
Cristian,5,93.282211,14
Gragnaniello,5,93.150848,18
,4,-1.0,14
Scott,5,93.247505,14
C.,5,91.235619,14
Berta,5,96.99485,14
,4,-1.0,18
Abdulrahman,5,92.213242,15
J.,5,92.902534,17
Sabbagh,5,92.058052,18
,4,-1.0,18
Michael,5,93.243431,14
L.,5,92.730331,13
Levy,5,96.802078,18
,2,-1.0,180
,3,-1.0,180
,4,-1.0,180
 ,5,95.0,180
,2,-1.0,319
,3,-1.0,319
,4,-1.0,319
 ,5,95.0,319
,2,-1.0,39
,3,-1.0,39
,4,-1.0,39
@®Thieme,5,43.913048,39
