text,level,conf,height
,1,-1.0,660
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
The,5,96.808006,20
Hunt,5,96.620712,20
for,5,96.712952,20
Zero,5,96.712952,20
Point,5,96.737862,20
,2,-1.0,31
,3,-1.0,31
,4,-1.0,12
Inside,5,95.144211,9
the,5,95.734688,9
Classified,5,65.313278,11
World,5,96.401901,9
of,5,96.75573,12
,4,-1.0,11
Antigravity,5,79.097466,11
Technology,5,96.365799,11
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
—$—$_$,5,24.221207,9
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
Nick,5,95.699097,13
Cook,5,96.181862,13
