text,level,conf,height
,1,-1.0,842
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Univerzitet,5,92.322273,8
u,5,88.568939,6
Nigu,5,61.775047,9
,2,-1.0,65
,3,-1.0,65
,4,-1.0,65
 ,5,95.0,65
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Univerzitetska,5,92.424759,9
biblioteka,5,87.472267,9
»Nikola,5,82.878593,9
Tesla«,5,84.256943,9
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,34
,3,-1.0,34
,4,-1.0,12
ON,5,96.107849,12
LIGHT,5,96.902374,12
,4,-1.0,15
AND,5,95.149963,12
OTHER,5,96.200287,12
HIGH,5,96.200287,12
FREQUENCY,5,96.216736,15
PHENOMENA,5,95.956375,12
,2,-1.0,25
,3,-1.0,25
,4,-1.0,10
by,5,96.956467,10
,4,-1.0,11
Nikola,5,96.518852,11
Tesla,5,96.33596,11
,2,-1.0,67
,3,-1.0,67
,4,-1.0,12
Delivered,5,95.650581,9
before,5,96.971962,9
the,5,96.094551,9
Franklin,5,96.707733,9
"Institute,",5,94.446724,11
"Philadelphia,",5,93.918297,12
,4,-1.0,12
February,5,95.468544,12
"1893,",5,96.608238,11
,4,-1.0,9
and,5,96.835175,9
,4,-1.0,12
before,5,96.7006,9
the,5,91.509064,9
National,5,96.581131,9
Electric,5,96.237816,9
Light,5,96.72789,12
"Association,",5,96.463394,11
St.,5,96.552704,9
"Louis,",5,96.551353,11
,4,-1.0,12
March,5,95.979744,9
"1893""",5,59.481766,12
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Content:,5,95.167793,8
,2,-1.0,143
,3,-1.0,10
,4,-1.0,10
INTRODUCTORY,5,93.182465,10
—,5,91.533928,1
SOME,5,95.630585,8
THOUGHTS,5,96.180046,8
ON,5,96.656578,8
THE,5,94.986183,8
EYE,5,93.823212,8
,3,-1.0,10
,4,-1.0,10
ON,5,75.093857,10
THE,5,96.89325,8
APPARATUS,5,94.762283,8
AND,5,96.641556,8
METHOD,5,96.904243,8
OF,5,95.909302,8
CONVERSION,5,92.676979,8
,3,-1.0,10
,4,-1.0,10
ON,5,87.651718,10
PHENOMENA,5,96.571938,8
PRODUCED,5,96.857979,8
BY,5,95.063087,8
ELECTROSTATIC,5,95.063087,8
FORCE,5,90.435295,8
,3,-1.0,10
,4,-1.0,10
ON,5,83.978546,10
CURRENT,5,96.014496,8
OR,5,92.610237,8
DYNAMIC,5,95.779396,8
ELECTRICITY,5,95.236732,8
PHENOMENA,5,94.371582,8
,3,-1.0,10
,4,-1.0,10
IMPEDANCE,5,95.800316,10
PHENOMENA.,5,82.636307,8
,3,-1.0,10
,4,-1.0,10
(ON,5,75.581818,10
ELECTRICAL,5,96.225296,8
RESONANCE,5,94.425987,8
,3,-1.0,12
,4,-1.0,12
ON,5,74.559814,10
THE,5,93.031403,8
LIGHT,5,93.031403,8
PHENOMENA,5,96.934593,8
PRODUCED,5,96.93969,8
BY,5,96.903328,8
HIGH-FREQUENCY,5,96.893768,10
,3,-1.0,24
,4,-1.0,10
CURRENTS,5,86.99971,10
OF,5,96.839165,8
HIGH,5,95.669548,8
POTENTIAL,5,95.669548,8
AND,5,96.726974,8
GENERAL,5,96.98967,8
REMARKS,5,96.969749,8
RELATING,5,95.213318,8
TO,5,91.987869,8
,4,-1.0,8
‘THE,5,78.725632,8
SUBJECT,5,96.177155,8
,2,-1.0,26
,3,-1.0,26
,4,-1.0,13
"""",5,38.695038,28
"Philadelphia,",5,73.17308,10
February,5,96.420898,10
"24th,",5,96.722542,10
"1893,",5,72.955772,8
,4,-1.0,10
‘Saint,5,81.187965,8
"Louis,",5,91.334061,10
March,5,96.81459,8
"1st,",5,86.097023,9
1893,5,95.634956,8
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
