text,level,conf,height
,1,-1.0,842
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
Noam,5,96.029961,16
Chomsky,5,96.030533,21
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
Hegemony,5,96.05838,36
or,5,95.686996,19
survival,5,95.686996,28
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
America's,5,80.402214,18
quest,5,96.234871,21
for,5,96.57486,24
global,5,96.116135,24
dominance,5,96.116135,18
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
 ,5,95.0,15
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
original,5,62.997139,9
notes,5,65.703156,6
located,5,60.36256,7
shor:,5,72.95755,7
,2,-1.0,136
,3,-1.0,36
,4,-1.0,8
Contents,5,86.230698,8
,4,-1.0,11
1.,5,74.632874,8
Priorities,5,39.188644,8
and,5,89.787338,8
Prospects,5,91.37149,11
,3,-1.0,11
,4,-1.0,11
2.,5,75.996155,8
Imperial,5,83.718147,11
Grand,5,92.151756,8
Stategy,5,84.012848,11
,3,-1.0,36
,4,-1.0,11
3.,5,82.387047,8
The,5,96.83181,8
Now,5,91.229752,8
Era,5,90.610283,8
of,5,95.280815,8
Enlightenment,5,54.302094,11
,4,-1.0,11
4.,5,78.377762,8
Dangerous,5,92.251038,11
Times,5,96.233688,8
,3,-1.0,11
,4,-1.0,11
5.,5,87.464111,8
The,5,95.552322,30
lag,5,76.969177,11
Connection,5,69.906616,8
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
6.,5,92.206261,8
Dilemmas,5,83.666023,8
of,5,96.041748,28
Dominance,5,80.235161,8
,2,-1.0,56
,3,-1.0,56
,4,-1.0,25
HEGEMONY,5,96.569176,25
,4,-1.0,28
OR,5,91.751213,19
SURVIVAL,5,91.751213,28
,2,-1.0,33
,3,-1.0,33
,4,-1.0,8
7.,5,48.929253,8
Cauldron,5,48.929253,8
of,5,93.305862,8
Animosities,5,53.7188,8
,4,-1.0,8
8.,5,71.781036,8
Terrorism,5,86.739021,8
and,5,96.295815,8
Justice:,5,96.805344,8
Some,5,96.962616,8
Useful,5,67.187576,8
Truisms,5,91.975487,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
9.,5,26.539642,8
A,5,26.539642,8
Passing,5,93.295128,11
Nightmate?,5,88.478653,11
,2,-1.0,257
,3,-1.0,257
,4,-1.0,257
 ,5,95.0,257
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Notes,5,94.62606,8
Index,5,89.200462,8
,2,-1.0,24
,3,-1.0,24
,4,-1.0,11
Please,5,96.659241,8
see,5,89.562233,6
www.hegemony,5,38.785416,28
orsurvival.net,5,38.785416,28
oF,5,75.713516,6
www.americanempireproject.com,5,65.302635,11
for,5,96.912315,8
expanded,5,94.906326,11
,4,-1.0,11
endnotes,5,68.729141,8
and,5,89.788879,8
an,5,95.309769,6
e-book,5,86.058449,8
with,5,96.172997,8
additional,5,90.209892,8
"background,",5,96.839424,11
"discussion,",5,92.773827,9
and,5,95.516205,8
sources.,5,81.071861,6
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
‘Noam,5,45.177582,7
Chomsky,5,48.375214,9
1,5,36.153332,7
Hegemony,5,59.345329,9
or,5,86.660362,5
Survival,5,35.929565,7
