text,level,conf,height
,1,-1.0,662
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
O'REILLY,5,79.993752,17
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
—,5,58.335129,12
,2,-1.0,64
,3,-1.0,64
,4,-1.0,64
Data,5,96.957336,44
Structures,5,96.369446,64
,2,-1.0,112
,3,-1.0,112
,4,-1.0,56
&,5,93.301659,45
Algorithms,5,96.664101,55
,4,-1.0,55
with,5,96.664894,44
JavaScript,5,25.022797,55
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
BRINGING,5,96.596146,10
CLASSIC,5,95.093407,10
COMPUTING,5,94.41983,10
APPROACHES,5,94.41983,10
TO,5,96.547592,10
THE,5,96.547592,9
WEB,5,96.555183,9
,2,-1.0,382
,3,-1.0,382
,4,-1.0,382
 ,5,95.0,382
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Michael,5,96.502274,16
McMillan,5,94.808754,16
