text,level,conf,height
,1,-1.0,662
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
An,5,92.533218,9
Introduction,5,95.595863,11
to,5,96.896187,9
Designing,5,96.934334,14
with,5,96.937935,12
D3,5,94.510567,11
,2,-1.0,109
,3,-1.0,109
,4,-1.0,49
Interactive,5,96.50589,39
Data,5,96.731743,49
,4,-1.0,44
Visualization,5,95.89006,44
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
for,5,85.758736,26
the,5,96.800804,19
Web,5,96.975372,19
,2,-1.0,482
,3,-1.0,482
,4,-1.0,352
   ,5,95.0,352
,4,-1.0,130
 ,5,95.0,130
,2,-1.0,33
,3,-1.0,33
,4,-1.0,33
O’REILLY*,5,38.346725,33
Scott,5,91.875931,11
Murray,5,91.879471,13
