text,level,conf,height
,1,-1.0,702
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,254
,3,-1.0,254
,4,-1.0,254
 ,5,95.0,254
,2,-1.0,263
,3,-1.0,263
,4,-1.0,263
 ,5,95.0,263
,2,-1.0,533
,3,-1.0,533
,4,-1.0,533
 ,5,95.0,533
,2,-1.0,83
,3,-1.0,83
,4,-1.0,25
Amodern,5,90.434296,20
approach,5,96.066719,25
to,5,95.631081,18
old-school,5,95.838188,20
,4,-1.0,25
sound,5,96.325188,19
synthesis,5,96.76152,25
,4,-1.0,20
Ray,5,96.621681,20
Wilson,5,96.621681,16
,2,-1.0,702
,3,-1.0,702
,4,-1.0,702
 ,5,95.0,702
