text,level,conf,height
,1,-1.0,662
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
O'REILLY,5,68.688454,18
,2,-1.0,47
,3,-1.0,47
,4,-1.0,47
Operations,5,96.283409,47
Guide,5,96.764626,39
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
SET,5,95.710884,10
UP,5,92.585297,10
AND,5,92.585297,10
MANAGE,5,96.148323,10
YOUR,5,93.303299,28
OPENSTACK,5,86.393639,10
CLOUD,5,96.827988,10
,2,-1.0,440
,3,-1.0,440
,4,-1.0,440
 ,5,95.0,440
,2,-1.0,63
,3,-1.0,63
,4,-1.0,19
Tom,5,96.612129,14
"Fifield,",5,96.612129,17
Diane,5,96.85434,14
"Fleming,",5,96.85434,19
Anne,5,95.946823,14
"Gentle,",5,95.946823,16
,4,-1.0,17
Lorin,5,96.768425,14
"Hochstein,",5,96.75631,17
Jonathan,5,96.677208,15
"Proulx,",5,96.914337,16
,4,-1.0,18
Everett,5,96.934319,14
Toews,5,93.244011,14
&,5,93.244011,14
Joe,5,93.249344,14
Topjian,5,92.761597,18
