text,level,conf,height
,1,-1.0,432
,2,-1.0,100
,3,-1.0,100
,4,-1.0,22
Fire,5,96.960266,17
in,5,96.946198,17
the,5,96.946198,16
City:,5,96.790443,22
,4,-1.0,17
Savonarola,5,92.685745,17
and,5,95.587563,16
the,5,95.587563,16
,4,-1.0,22
Struggle,5,96.208313,22
for,5,96.836082,17
Renaissance,5,96.271896,17
,4,-1.0,16
Florence,5,96.695595,16
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
LAURO,5,87.663223,12
MARTINES,5,92.397644,12
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
OXFORD,5,94.991348,10
UNIVERSITY,5,96.849541,10
PRESS,5,96.570839,10
