text,level,conf,height
,1,-1.0,373
,2,-1.0,40
,3,-1.0,40
,4,-1.0,16
THE,5,95.582466,16
INVENTION,5,95.582466,16
,4,-1.0,19
OF,5,96.653404,16
SUSPICION,5,91.857254,19
,2,-1.0,68
,3,-1.0,68
,4,-1.0,47
Lew,5,60.807655,9
dt,5,36.785156,9
imesh,5,0.0,9
Bedepeare,5,0.0,12
4s,5,28.316757,47
,4,-1.0,19
chit,5,33.731491,19
enaisbic?,5,0.0,9
Bama,5,0.0,8
,4,-1.0,9
LORNA,5,90.651878,9
HUTSON,5,61.696926,9
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
tk,5,12.533302,39
Sas,5,31.132591,39
,2,-1.0,68
,3,-1.0,77
,4,-1.0,68
i=,5,64.622162,77
+,5,11.092262,52
,2,-1.0,120
,3,-1.0,120
,4,-1.0,120
  ,5,95.0,120
,2,-1.0,57
,3,-1.0,57
,4,-1.0,15
|,5,81.081314,14
a,5,22.377106,8
|,5,87.807106,11
,4,-1.0,45
o,5,0.0,20
{,5,27.819153,28
Ngee,5,34.234024,24
