text,level,conf,height
,1,-1.0,792
,2,-1.0,300
,3,-1.0,300
,4,-1.0,300
 ,5,95.0,300
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Quick,5,64.292442,13
answers,5,94.817261,10
to,5,96.684196,12
common,5,95.489647,9
problems,5,95.489647,15
,2,-1.0,86
,3,-1.0,86
,4,-1.0,43
Direct3D,5,92.713448,35
Rendering,5,96.20739,43
,4,-1.0,35
Cookbook,5,96.500587,35
,2,-1.0,59
,3,-1.0,59
,4,-1.0,17
50,5,94.301407,14
practical,5,96.974884,17
recipes,5,96.919571,17
to,5,96.988991,14
guide,5,96.439339,17
you,5,97.001663,14
through,5,96.743317,17
the,5,96.373619,14
advanced,5,91.91906,14
,4,-1.0,18
rendering,5,94.741295,18
techniques,5,96.931129,18
in,5,93.240181,15
Direct3D,5,93.071892,15
to,5,96.84269,14
help,5,96.754753,18
bring,5,96.788681,18
your,5,96.614052,14
3D,5,96.704796,15
,4,-1.0,18
graphics,5,96.909203,18
project,5,96.270081,18
to,5,96.836136,14
life,5,96.947456,15
,2,-1.0,88
,3,-1.0,88
,4,-1.0,88
 ,5,95.0,88
