text,level,conf,height
,1,-1.0,792
,2,-1.0,66
,3,-1.0,66
,4,-1.0,66
 ,5,95.0,66
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
Short,5,96.403786,16
Fast,5,96.491425,15
|,5,95.936295,21
Focused,5,96.38472,16
,2,-1.0,102
,3,-1.0,102
,4,-1.0,102
MinGW,5,95.546188,54
Starter,5,96.353523,102
,2,-1.0,40
,3,-1.0,40
,4,-1.0,17
"Develop,",5,96.994049,17
debug,5,95.909004,17
and,5,95.909004,13
profile,5,96.833588,17
your,5,96.425278,13
C++,5,95.078072,12
applications,5,95.985657,17
using,5,96.903954,17
the,5,96.922485,13
MinGW,5,95.637787,13
,4,-1.0,17
open,5,68.427101,13
source,5,94.584808,9
software,5,96.83168,13
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Foreword,5,96.980949,11
by,5,96.898811,14
Vitaly,5,93.305687,14
"Lipatov,",5,91.818733,14
"CEO,",5,93.306244,11
Etersoft,5,92.198517,11
,2,-1.0,42
,3,-1.0,42
,4,-1.0,42
Ilya,5,83.306717,22
Shpigor,5,92.906845,22
[PACKT],5,92.94915,42
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
PUBLISHING.,5,69.744377,7
