text,level,conf,height
,1,-1.0,792
,2,-1.0,39
,3,-1.0,39
,4,-1.0,39
Mastering,5,96.56115,39
Adobe,5,96.541206,30
Captivate,5,96.117043,38
7,5,96.818298,30
,2,-1.0,39
,3,-1.0,39
,4,-1.0,18
Create,5,96.941742,14
interactive,5,93.035927,14
SCORM-compliant,5,92.053703,18
"demonstrations,",5,96.850586,16
,4,-1.0,17
"simulations,",5,96.789314,16
and,5,97.01339,14
quizzes,5,96.899719,17
with,5,96.397202,14
Captivate,5,96.397202,17
7,5,96.906464,13
,2,-1.0,33
,3,-1.0,33
,4,-1.0,14
Foreword,5,96.964394,12
by,5,97.003677,14
Richard,5,96.640656,12
John,5,96.078438,12
"Jenkins,",5,93.277939,12
eLeaming,5,88.233284,14
Solutions,5,96.405396,12
Consultant,5,96.558815,12
,4,-1.0,15
at,5,95.32502,12
Adobe,5,96.95446,13
Systems,5,96.98822,15
,2,-1.0,490
,3,-1.0,490
,4,-1.0,490
 ,5,95.0,490
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
PACKT,5,92.803864,22
