text,level,conf,height
,1,-1.0,792
,2,-1.0,43
,3,-1.0,43
,4,-1.0,13
&,5,33.961113,13
,4,-1.0,35
£,5,82.501686,35
,4,-1.0,40
BS,5,69.52076,40
,4,-1.0,13
2,5,72.927345,13
,4,-1.0,13
3,5,63.794655,13
,4,-1.0,10
5,5,90.480537,10
,4,-1.0,14
5,5,50.624191,14
,4,-1.0,13
3,5,76.578033,13
,4,-1.0,17
E,5,28.198761,17
,4,-1.0,13
5,5,71.317123,13
,4,-1.0,13
3,5,45.200024,13
,4,-1.0,13
=,5,42.470573,13
,4,-1.0,17
2,5,73.609497,17
,4,-1.0,14
g,5,84.945557,14
,4,-1.0,27
-),5,28.618439,27
,4,-1.0,13
8,5,90.833778,13
,2,-1.0,588
,3,-1.0,588
,4,-1.0,588
 ,5,95.0,588
,2,-1.0,33
,3,-1.0,33
,4,-1.0,33
Rails,5,96.135498,26
4,5,96.893646,26
Application,5,96.200859,33
Development,5,95.72155,33
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
PACKT,5,91.912193,21
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Saurabh,5,96.686768,18
Bhatia,5,96.944199,18
