text,level,conf,height
,1,-1.0,792
,2,-1.0,190
,3,-1.0,190
,4,-1.0,190
  ,5,95.0,190
,2,-1.0,189
,3,-1.0,189
,4,-1.0,26
|,5,17.741013,60
Community,5,32.073051,60
Experience,5,61.818424,26
oueritiee,5,0.0,60
,4,-1.0,50
Raspberry,5,96.126785,50
Pi,5,96.637299,39
Robotic,5,95.89312,39
,4,-1.0,49
Projects,5,96.585274,49
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Create,5,96.660179,14
amazing,5,96.746368,18
robotic,5,96.942429,14
projects,5,96.553085,18
on,5,96.553085,10
a,5,96.775833,10
shoestring,5,96.775833,18
budget,5,96.395325,18
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
PACKT,5,92.430809,21
