text,level,conf,height
,1,-1.0,792
,2,-1.0,28
,3,-1.0,28
,4,-1.0,28
From,5,96.897728,9
the,5,96.804138,9
NEW,5,96.924011,9
YORK,5,96.920654,28
TIMES,5,96.400703,28
bestselling,5,95.651863,11
author,5,95.651863,28
of,5,96.901886,9
,2,-1.0,155
,3,-1.0,155
,4,-1.0,81
NATHANIEL,5,95.658203,81
,4,-1.0,41
PHILBRICK,5,91.384811,41
,2,-1.0,169
,3,-1.0,169
,4,-1.0,65
BUNKER,5,96.13781,65
,4,-1.0,63
HILL,5,95.668907,63
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,32
,3,-1.0,32
,4,-1.0,32
A,5,94.350616,26
"CITY,",5,94.350616,32
A,5,96.32827,27
"SIEGE,",5,95.134735,32
,2,-1.0,218
,3,-1.0,218
,4,-1.0,218
 ,5,95.0,218
