text,level,conf,height
,1,-1.0,619
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
THE,5,95.321533,25
FUTURE,5,95.387238,25
OF,5,96.199341,21
,2,-1.0,37
,3,-1.0,37
,4,-1.0,37
COMPLEXITY,5,96.060699,37
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Conceiving,5,96.527115,18
a,5,96.462502,10
Better,5,96.462502,13
Way,5,96.941048,16
to,5,96.951012,13
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
_,5,78.121284,2
Understand,5,90.341179,18
Order,5,96.343674,18
and,5,96.343674,14
Chaos,5,96.624832,18
,2,-1.0,418
,3,-1.0,418
,4,-1.0,418
    ,5,95.0,418
,2,-1.0,74
,3,-1.0,74
,4,-1.0,74
\/,5,2.108757,74
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Peter,5,93.289764,18
Baofu,5,92.177116,18
