text,level,conf,height
,1,-1.0,597
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,145
,3,-1.0,145
,4,-1.0,96
SACRED,5,96.984406,96
,4,-1.0,45
SECULAR,5,96.844322,45
AGE,5,96.888115,44
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
Edited,5,96.065163,17
by,5,96.97998,20
PHILLIP,5,93.306122,17
E.,5,88.327034,16
HAMMOND,5,96.26355,18
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,297
,3,-1.0,12
,4,-1.0,12
Contributions,5,72.822006,10
by:,5,95.866798,11
,3,-1.0,35
,4,-1.0,16
Bryan,5,96.782791,15
Wilson,5,96.136765,13
William,5,96.136765,13
Sims,5,96.984596,13
Bainbridge,5,96.824524,16
,4,-1.0,15
Eileen,5,77.658226,13
Barker,5,96.449547,13
Anson,5,93.235603,13
Shupe,5,93.235603,15
,3,-1.0,115
,4,-1.0,16
David,5,93.260803,13
G.,5,92.751366,13
Bromley,5,91.344582,16
Wade,5,96.860565,13
Clark,5,96.860565,14
Roof,5,96.798935,13
,4,-1.0,13
Hans,5,96.625259,13
Mol,5,94.1586,13
James,5,88.449005,13
T.,5,81.826996,13
Richardson,5,96.976028,13
,4,-1.0,16
James,5,95.514153,13
A.,5,95.137794,13
Beckford,5,95.137794,13
Rodney,5,96.77401,16
Stark,5,91.344276,13
,4,-1.0,17
James,5,93.210167,13
D.,5,92.578682,12
Hunter,5,96.863281,13
Edgar,5,91.440926,17
W.,5,91.440926,26
Mills,5,96.00824,14
,4,-1.0,17
Robert,5,93.290169,13
Wuthnow,5,92.401443,13
Barbara,5,96.578819,12
Hargrove:,5,63.042767,16
,4,-1.0,12
Bennetta,5,91.36937,12
Jules-Rosette,5,85.558655,12
,3,-1.0,33
,4,-1.0,16
Donald,5,95.973053,13
Capps,5,96.410103,16
Paul,5,93.304314,13
W.,5,89.547462,12
Pruyser,5,89.547462,16
,4,-1.0,13
Meredith,5,93.306229,13
B.,5,93.125038,13
McGuire,5,95.677841,13
,3,-1.0,34
,4,-1.0,16
Ralph,5,93.287971,16
W.,5,93.257835,12
"Hood,",5,94.988419,15
Jr.,5,91.977791,13
Benton,5,96.530579,13
Johnson,5,95.270493,13
,4,-1.0,13
Jackson,5,93.273476,13
W.,5,92.992523,13
Carroll,5,95.375092,13
,3,-1.0,17
,4,-1.0,17
Sister,5,86.895393,14
Marie,5,96.447357,14
Augusta,5,96.844994,17
Neal,5,96.731316,14
,3,-1.0,13
,4,-1.0,13
Roland,5,96.409775,13
Robertson,5,96.623596,13
,2,-1.0,426
,3,-1.0,426
,4,-1.0,426
 ,5,95.0,426
