text,level,conf,height
,1,-1.0,648
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
A,5,32.554382,12
REVISED,5,32.554382,13
EDITION,5,96.514938,13
,2,-1.0,64
,3,-1.0,64
,4,-1.0,64
TOE,5,78.211174,64
BETENO™,5,13.383759,64
,2,-1.0,32
,3,-1.0,32
,4,-1.0,12
BIOLOGICAL,5,96.681015,12
ANALOGY,5,96.306122,12
IN,5,95.698586,12
ARCHITECTURE,5,95.698586,12
AND,5,68.657867,12
,4,-1.0,12
THE,5,95.182625,12
APPLIED,5,94.761871,12
ARTS,5,96.746529,12
,2,-1.0,57
,3,-1.0,57
,4,-1.0,57
 ,5,95.0,57
,2,-1.0,63
,3,-1.0,63
,4,-1.0,63
 ,5,95.0,63
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
PHILIP,5,93.11499,12
STEADMAN,5,91.521431,13
