text,level,conf,height
,1,-1.0,648
,2,-1.0,75
,3,-1.0,75
,4,-1.0,28
NEw,5,43.831322,28
AGE,5,96.142868,28
AND,5,96.142868,21
,4,-1.0,27
NEOPAGAN,5,91.862999,27
RELIGIONS,5,96.602135,27
,2,-1.0,204
,3,-1.0,204
,4,-1.0,204
 ,5,95.0,204
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
IN,5,72.384109,23
a,5,3.617218,23
"MEER,",5,47.391777,24
b-,5,0.0,40
GA,5,0.0,40
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,201
,3,-1.0,201
,4,-1.0,201
 ,5,95.0,201
,2,-1.0,387
,3,-1.0,387
,4,-1.0,387
 ,5,95.0,387
,2,-1.0,387
,3,-1.0,387
,4,-1.0,387
 ,5,95.0,387
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
Sarah,5,93.273453,15
M.,5,92.345642,14
Pike,5,97.014732,15
