text,level,conf,height
,1,-1.0,634
,2,-1.0,72
,3,-1.0,72
,4,-1.0,72
 ,5,95.0,72
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
A,5,92.984894,15
Quick-Start,5,92.725342,19
Gu,5,96.697716,15
,2,-1.0,113
,3,-1.0,113
,4,-1.0,113
Raspberry.,5,79.764275,113
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Second,5,96.69693,16
Edition,5,96.700172,16
,2,-1.0,240
,3,-1.0,240
,4,-1.0,240
 ,5,95.0,240
,2,-1.0,43
,3,-1.0,43
,4,-1.0,15
Maik,5,95.753494,15
Schmidt,5,96.661713,15
,4,-1.0,13
Edited,5,95.548492,11
by,5,96.445801,13
Jacquelyn,5,96.445801,13
Carter,5,96.934853,9
