text,level,conf,height
,1,-1.0,783
,2,-1.0,121
,3,-1.0,121
,4,-1.0,35
PRINCIPLES,5,96.51545,35
,4,-1.0,35
OF,5,96.285286,35
NEURAL,5,96.568855,35
,4,-1.0,35
SCIENCE,5,96.03994,35
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
Sixth,5,96.994675,13
Edition,5,95.751785,13
,2,-1.0,94
,3,-1.0,94
,4,-1.0,8
Edited,5,88.85495,8
by,5,96.850342,28
,4,-1.0,11
ERIC,5,89.383011,11
R.,5,89.383011,11
KANDEL,5,96.796875,11
,4,-1.0,14
JOHN,5,93.235451,14
D.,5,91.925972,11
KOESTER,5,92.60759,11
,4,-1.0,11
SARAH,5,92.977478,11
H.,5,90.545044,11
MACK,5,94.046333,11
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
STEVEN,5,96.613708,11
A.,5,93.109367,11
SIEGELBAUM,5,81.975098,11
,2,-1.0,75
,3,-1.0,75
,4,-1.0,75
 ,5,95.0,75
