text,level,conf,height
,1,-1.0,553
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
Python,5,96.410446,26
Deep,5,96.648781,26
Learning,5,96.439903,26
,2,-1.0,34
,3,-1.0,34
,4,-1.0,15
Next,5,93.85759,12
generation,5,96.722969,14
techniques,5,96.241936,15
to,5,96.241936,11
revolutionize,5,96.172974,12
,4,-1.0,15
computer,5,91.447098,14
"vision,",5,91.447098,11
"Al,",5,96.104599,14
speech,5,93.222038,15
and,5,96.825432,11
data,5,96.934372,12
analysis,5,73.109558,15
,2,-1.0,87
,3,-1.0,61
,4,-1.0,10
Valentino,5,93.15992,10
Zocca,5,91.122589,10
,4,-1.0,13
Gianmario,5,92.026268,10
Spacagna,5,92.909752,13
,4,-1.0,10
Daniel,5,96.794365,10
Slater,5,84.559349,10
,3,-1.0,10
,4,-1.0,10
Peter,5,93.304306,10
Roelants,5,66.053238,10
,2,-1.0,39
,3,-1.0,39
,4,-1.0,39
Packt»,5,4.980179,39
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
