text,level,conf,height
,1,-1.0,721
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
Pp,5,6.524063,12
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
"$M0D5,",5,17.283478,26
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
DIG,5,13.260963,22
,2,-1.0,419
,3,-1.0,419
,4,-1.0,419
 ,5,95.0,419
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Patrick,5,93.231377,13
H.,5,89.729691,13
Corrigan,5,90.349449,16
,2,-1.0,118
,3,-1.0,118
,4,-1.0,52
Data,5,96.881302,51
Protection,5,96.508575,52
,4,-1.0,52
for,5,96.35981,40
Photographers,5,96.519981,51
,2,-1.0,29
,3,-1.0,29
,4,-1.0,14
A,5,96.803841,10
Guide,5,96.153297,11
to,5,95.314491,9
Storing,5,95.314491,14
and,5,96.386421,10
Protecting,5,96.320404,12
,4,-1.0,14
Your,5,94.568817,10
Valuable,5,94.568817,11
Digital,5,96.258156,14
Assets,5,92.223091,10
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
rocky:,5,43.786552,21
