text,level,conf,height
,1,-1.0,628
,2,-1.0,59
,3,-1.0,59
,4,-1.0,29
The,5,96.961845,22
Total,5,96.389877,22
Synthesis,5,96.389877,28
,4,-1.0,23
of,5,93.292603,22
Cannabinoids,5,92.074249,22
,2,-1.0,155
,3,-1.0,155
,4,-1.0,155
ROMRyPEPeRsor>ge,5,0.0,155
,2,-1.0,192
,3,-1.0,192
,4,-1.0,192
 ,5,95.0,192
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
f,5,23.958931,9
,2,-1.0,16
,3,-1.0,16
,4,-1.0,7
i,5,88.764145,7
,4,-1.0,5
{,5,62.065075,5
,4,-1.0,16
EE,5,80.314575,16
,4,-1.0,6
i,5,90.022171,6
,2,-1.0,18
,3,-1.0,18
,4,-1.0,7
i,5,56.479225,4
Conntinids,5,0.0,7
,4,-1.0,9
‘Fheapete,5,10.865402,8
Inion,5,0.0,6
so,5,56.065529,28
Poet,5,58.531223,6
New,5,60.554893,28
rap,5,49.489136,28
Cannan,5,32.273468,7
