text,level,conf,height
,1,-1.0,449
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
I'he,5,0.0,10
Yoga,5,76.564987,14
of,5,96.803787,13
the,5,96.89418,9
Nations,5,91.637062,9
,2,-1.0,41
,3,-1.0,41
,4,-1.0,22
THE,5,96.97728,13
LORD,5,96.086029,22
OF,5,95.951683,13
THE,5,95.951683,13
,4,-1.0,15
NATIONS*,5,33.907875,15
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
By,5,96.86837,11
PAUL,5,93.185745,11
RICHARD-,5,80.053169,18
,2,-1.0,356
,3,-1.0,356
,4,-1.0,356
 ,5,95.0,356
,2,-1.0,348
,3,-1.0,348
,4,-1.0,348
 ,5,95.0,348
,2,-1.0,209
,3,-1.0,209
,4,-1.0,209
 ,5,95.0,209
