text,level,conf,height
,1,-1.0,792
,2,-1.0,21
,3,-1.0,21
,4,-1.0,8
SCHRODINGER'S,5,82.291779,8
CAT,5,93.867783,6
TRILOGY,5,89.043335,6
,4,-1.0,8
Copyright,5,92.529068,8
©,5,71.52607,6
1979,5,92.6194,6
by,5,95.619492,8
Robert,5,85.132332,6
Anton,5,85.132332,6
Wison,5,6.203079,6
,2,-1.0,30
,3,-1.0,30
,4,-1.0,8
‘The,5,84.446999,6
Teick,5,81.372025,6
Top,5,94.521233,8
Het,5,74.836258,6
,4,-1.0,8
‘The,5,82.266525,6
Honing,5,63.007008,8
Pigeons,5,75.81163,8
,2,-1.0,110
,3,-1.0,20
,4,-1.0,8
‘There,5,72.420319,6
is,5,67.765045,4
¢,5,61.345234,5
Glossary,5,84.991745,8
at,5,91.714882,6
the,5,95.672119,6
beck,5,94.438858,6
of,5,94.054619,6
this,5,86.156052,6
book,5,87.187798,6
which,5,95.337738,6
explains,5,52.57164,8
many,5,53.148762,7
of,5,93.47448,6
the,5,95.395607,6
,4,-1.0,8
concepts,5,2.585899,8
,3,-1.0,19
,4,-1.0,8
(Of,5,64.076508,6
quantum,5,76.999603,8
mechanics,5,66.405762,6
employed,5,75.829315,8
in,5,96.355957,5
the,5,96.355957,6
text.,5,92.026863,6
The,5,96.393478,6
reader,5,92.861862,6
may,5,58.059937,7
find,5,96.663765,6
this,5,75.689438,6
,4,-1.0,8
"heipeut,",5,34.907417,8
and,5,85.944946,6
,3,-1.0,8
,4,-1.0,8
Se,5,24.500519,6
may,5,59.075684,7
be,5,82.656059,6
consutted,5,72.818672,6
ot,5,51.161659,6
any,5,95.812195,7
point,5,44.354347,8
when,5,91.376358,6
elucidation,5,82.122375,6
sens,5,41.860031,5
needed.,5,91.080345,6
,3,-1.0,53
,4,-1.0,8
‘The,5,78.68454,6
story,5,89.420624,8
herein,5,95.195648,6
is,5,59.262978,4
set,5,62.498692,6
in,5,62.498692,5
a,5,41.049046,5
variety,5,69.318192,8
of,5,77.647972,6
parallel,5,49.117371,8
universes,5,93.617729,5
in,5,93.617729,5
which,5,86.761368,6
,4,-1.0,8
politiciens,5,61.503864,8
ase,5,60.443008,5
thieves,5,96.277313,6
and,5,94.713921,6
most,5,94.480392,6
of,5,93.629227,6
the,5,96.80748,6
theologians,5,51.726551,8
are,5,91.987373,5
menises.,5,69.507759,5
These,5,93.726875,6
,4,-1.0,8
have,5,72.73941,6
nothing,5,91.742249,8
in,5,90.090294,5
cormon,5,37.265465,5
with,5,72.057983,6
our,5,92.167648,5
own,5,78.984009,5
"world,",5,45.998543,7
of,5,85.8255,6
course,5,90.547958,5
,2,-1.0,19
,3,-1.0,19
,4,-1.0,8
Kingdon,5,56.261791,8
of,5,46.913544,6
Heaven,5,94.182671,6
,4,-1.0,8
"“seaus,",5,40.585022,7
in,5,93.330078,5
The,5,93.330078,6
Gospel,5,61.764332,8
of,5,93.673927,6
Thomas,5,55.107635,6
,2,-1.0,19
,3,-1.0,19
,4,-1.0,8
For,5,95.917267,6
the,5,96.487816,6
Cherub,5,92.304672,6
Cat,5,93.439369,6
is,5,90.322075,4
a,5,85.22303,5
term,5,89.18576,6
in,5,87.898758,5
the,5,87.898758,6
Angel,5,92.020393,8
Tiger,5,95.400589,8
,4,-1.0,8
“christopher,5,58.822018,8
"smart,",5,45.68705,7
Jubilate,5,43.454285,6
Agno,5,74.410858,8
,2,-1.0,20
,3,-1.0,20
,4,-1.0,8
History,5,79.636124,8
i,5,52.792931,4
@,5,76.093979,5
nightmare,5,1.709976,8
fron,5,75.429939,6
which,5,95.120071,6
none,5,93.345863,5
of,5,95.845001,6
us,5,71.685463,4
can,5,71.685463,5
awaken,5,10.24382,6
,4,-1.0,8
“stephen,5,21.37767,8
prometheus,5,29.508202,8
in,5,93.479057,5
earl,5,84.087967,6
Jung's,5,55.883324,8
Odysseus,5,73.22699,8
,2,-1.0,133
,3,-1.0,42
,4,-1.0,8
‘The,5,77.084198,6
majority,5,94.784996,8
of,5,93.191521,6
Terrans,5,88.457565,6
were,5,92.337151,5
six-legged.,5,75.564926,8
They,5,90.099815,8
had,5,95.984093,6
territorial,5,87.391129,6
squabbles,5,50.461849,8
,4,-1.0,8
politics,5,89.69635,8
end,5,70.916679,6
wars,5,70.651283,5
ond,5,75.103325,6
a,5,90.852173,5
caste,5,78.403511,6
system.,5,30.448349,8
They,5,93.727676,8
algo,5,78.128853,6
hed,5,85.488602,6
suesietent,5,0.0,6
,4,-1.0,8
Intelligence,5,63.882317,8
to,5,76.537384,6
,3,-1.0,53
,4,-1.0,8
survive,5,66.472038,5
on,5,94.917877,5
thet,5,78.254578,6
barzen,5,58.398247,6
boondocks,5,85.506104,6
planet,5,95.132294,8
for,5,95.852013,6
several,5,2.798691,6
billions,5,76.084274,6
of,5,93.682495,6
years,5,91.723572,7
,4,-1.0,8
Liny,5,0.0,8
minority-the,5,42.644497,8
donesticated,5,64.306999,6
primates,5,85.423607,8
who,5,94.424232,6
built,5,53.106201,6
cities,5,80.86882,6
end,5,71.977203,6
wrote,5,93.261963,6
,4,-1.0,8
symphonies,5,42.808289,8
,3,-1.0,31
,4,-1.0,8
snd,5,16.520462,6
