text,level,conf,height
,1,-1.0,666
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
y=f@b),5,61.370644,17
+e,5,96.676041,30
,2,-1.0,28
,3,-1.0,28
,4,-1.0,28
 ,5,95.0,28
,2,-1.0,53
,3,-1.0,53
,4,-1.0,19
1,5,68.751701,19
1,5,91.558861,11
1,5,93.326202,11
,4,-1.0,33
"(6,02)",5,0.0,18
=,5,95.193756,5
>,5,91.445755,33
=,5,0.882187,1
5,5,0.882187,17
In(2n),5,28.999031,15
~,5,58.449638,1
5,5,75.913742,17
In(o?),5,53.937191,16
~,5,64.18956,1
$5,5,26.152863,39
(1,5,38.195442,20
fileB)”,5,0.0,24
,4,-1.0,7
&,5,9.022919,7
,2,-1.0,59
,3,-1.0,59
,4,-1.0,30
Algorithmic,5,96.226257,30
Trading,5,96.189468,30
Methods,5,96.19397,24
,4,-1.0,21
—_,5,0.0,11
Applications,5,96.811874,20
using,5,96.811874,20
Advanced,5,96.787949,15
"Statistics,",5,96.835999,17
,2,-1.0,41
,3,-1.0,41
,4,-1.0,20
"ization,",5,95.88559,18
and,5,96.880608,16
Machine,5,96.823677,16
Learning,5,96.78653,20
Techniques,5,84.587845,20
,4,-1.0,12
[x,5,56.879005,13
,2,-1.0,68
,3,-1.0,68
,4,-1.0,28
Mit,5,20.22081,11
44,5,44.911095,8
|orecn,5,0.0,27
Second,5,96.927269,15
Edition,5,96.784027,15
,4,-1.0,14
Ar,5,15.822227,14
,4,-1.0,21
Robert,5,96.560059,18
"Kissell,",5,96.710831,21
Ph.D.,5,96.855965,17
,2,-1.0,394
,3,-1.0,394
,4,-1.0,97
     ,5,95.0,97
,4,-1.0,286
    ,5,95.0,286
,2,-1.0,58
,3,-1.0,58
,4,-1.0,22
te,5,52.923656,12
Ses,5,11.445732,22
,4,-1.0,40
yng?,5,0.0,13
Seb,5,11.358147,40
4h,5,26.266396,19
e,5,88.176163,6
,4,-1.0,22
‘,5,0.0,6
s,5,61.43729,16
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
re,5,26.642929,14
fis,5,37.356266,38
,2,-1.0,60
,3,-1.0,60
,4,-1.0,31
ay,5,26.068977,18
FO),5,14.875687,20
,4,-1.0,19
cov(B),5,71.948471,16
=,5,89.696838,13
s*(J'J)**,5,0.70369,17
,2,-1.0,29
,3,-1.0,29
,4,-1.0,11
"aL*(b,0?)",5,0.0,11
,4,-1.0,11
by,5,38.029156,11
,2,-1.0,82
,3,-1.0,82
,4,-1.0,82
 ,5,95.0,21
  ,5,95.0,76
  ,5,95.0,75
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
"aL*(b,02)",5,0.0,11
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
