text,level,conf,height
,1,-1.0,765
,2,-1.0,111
,3,-1.0,111
,4,-1.0,53
Nanotechnology,5,96.693192,53
and,5,96.799713,44
,4,-1.0,44
the,5,96.758392,44
Environment,5,96.181709,44
,2,-1.0,162
,3,-1.0,162
,4,-1.0,121
 ,5,95.0,20
   ,5,95.0,121
,4,-1.0,41
 ,5,95.0,41
,2,-1.0,77
,3,-1.0,73
,4,-1.0,19
"&,",5,19.249771,19
,4,-1.0,24
Robert,5,93.178009,24
V.,5,93.175797,23
Neumann,5,96.445816,23
,4,-1.0,27
Editor,5,95.627106,27
o,5,0.0,5
,2,-1.0,61
,3,-1.0,61
,4,-1.0,30
",",5,0.0,2
of,5,9.502113,30
R,5,0.0,17
,4,-1.0,11
LE,5,43.448517,11
,4,-1.0,12
_,5,37.566341,2
he.,5,34.923615,9
>-,5,0.0,9
