text,level,conf,height
,1,-1.0,648
,2,-1.0,48
,3,-1.0,48
,4,-1.0,24
Edited,5,77.689384,19
by,5,77.689384,24
Roland,5,96.643105,19
"Faber,",5,96.710121,21
Brian,5,66.894928,18
G.,5,66.894928,18
,4,-1.0,24
"Henning,",5,96.506218,23
and,5,95.980469,19
Clinton,5,95.980469,18
Combs,5,96.221664,19
,2,-1.0,59
,3,-1.0,59
,4,-1.0,59
Metaphysics?,5,96.679344,59
,2,-1.0,325
,3,-1.0,325
,4,-1.0,325
 ,5,95.0,325
,2,-1.0,74
,3,-1.0,74
,4,-1.0,22
Explorations,5,95.563889,21
in,5,95.563889,16
Alfred,5,96.859009,17
,4,-1.0,17
North,5,93.299904,17
Whitehead’s,5,45.574207,17
,4,-1.0,22
Late,5,96.409019,16
Thought,5,96.136047,22
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
vibs,5,92.005363,19
,2,-1.0,56
,3,-1.0,56
,4,-1.0,22
  ,5,95.0,22
,4,-1.0,34
 ,5,95.0,34
