text,level,conf,height
,1,-1.0,792
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,20
,3,-1.0,20
,4,-1.0,7
EM,5,85.725098,7
1110-2-2006,5,65.536118,7
,4,-1.0,9
5,5,60.659775,7
January,5,62.7463,9
2000,5,90.829552,7
,2,-1.0,51
,3,-1.0,51
,4,-1.0,51
 ,5,95.0,51
,2,-1.0,26
,3,-1.0,26
,4,-1.0,12
US,5,95.566711,9
Army,5,95.566711,12
Corps,5,96.430206,12
,4,-1.0,12
of,5,92.988922,9
Engineers,5,79.093597,12
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
ENGINEERING,5,96.390839,12
AND,5,96.706215,12
DESIGN,5,96.521477,12
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
Roller-Compacted,5,90.986107,29
Concrete,5,96.651527,23
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
ENGINEER,5,95.232315,12
MANUAL,5,95.232315,12
