text,level,conf,height
,1,-1.0,648
,2,-1.0,500
,3,-1.0,500
,4,-1.0,500
 ,5,95.0,500
,2,-1.0,72
,3,-1.0,50
,4,-1.0,10
SERVICE,5,96.646095,10
DESIGN,5,96.497566,10
,4,-1.0,11
From,5,40.972488,8
Insight,5,89.223587,8
to,5,65.574493,7
lmple,5,45.413025,8
,4,-1.0,8
by,5,65.09317,4
ANDY,5,93.278564,8
"POLAINE,",5,93.123039,8
LAVRANS,5,88.073204,8
"LOVLIE,",5,19.794647,8
,3,-1.0,10
,4,-1.0,10
N,5,87.976311,8
REASON,5,87.976311,8
foreword,5,93.385712,6
by,5,96.702583,8
John,5,93.303368,6
Thackare,5,14.63356,6
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
ation,5,69.203911,7
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
 ,5,95.0,13
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
AM,5,9.01355,8
Posenfeld,5,9.01355,8
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
  ,5,95.0,15
