text,level,conf,height
,1,-1.0,648
,2,-1.0,52
,3,-1.0,52
,4,-1.0,19
and,5,96.322472,19
,4,-1.0,28
Christian,5,96.837616,28
,2,-1.0,51
,3,-1.0,51
,4,-1.0,23
Renaissance,5,63.146381,20
|}.,5,38.43779,22
,4,-1.0,24
Poetry,5,96.386353,24
,2,-1.0,38
,3,-1.0,38
,4,-1.0,14
A,5,90.965691,9
Students’,5,80.95665,10
Guide,5,95.564919,10
|;,5,57.094006,6
,4,-1.0,16
"oibte,",5,0.0,16
,2,-1.0,336
,3,-1.0,336
,4,-1.0,336
 ,5,95.0,336
,2,-1.0,336
,3,-1.0,336
,4,-1.0,336
 ,5,95.0,336
,2,-1.0,589
,3,-1.0,589
,4,-1.0,589
  ,5,95.0,589
,2,-1.0,50
,3,-1.0,50
,4,-1.0,30
Also,5,96.989922,26
available,5,96.783524,18
as,5,96.79483,13
a,5,96.79483,13
printed,5,96.373604,22
book,5,96.062347,18
,4,-1.0,15
see,5,95.425842,11
title,5,96.85022,15
verso,5,96.330818,11
for,5,96.763405,15
ISBN,5,96.372986,15
details,5,96.241722,15
